"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",2.118880003,1141.89094565274,16670.61214,31.1357644935,296.67262935,69.7644208692924,612.864996183979
"2","February",2.472026671,1066.21791908212,14895.94714,208.664065535,421.3407601,1769.22851270588,8899.96378714228
"3","March",131.7531358,1155.30670556384,18099.56127,262.936822535,593.120863425,349.979542451582,839.391007952252
"4","April",85.46149347,823.816638148625,7973.065878,259.852674965,457.990762625,292.773064443825,689.944142116762
"5","May",40.46472229,567.590336764449,4972.878938,81.477557629,236.35444285,133.896020965201,435.224890906488
"6","June",13.15471335,232.929542588236,1580.463766,31.3528025445,59.659715095,37.0258222964524,114.685532792941
"7","July",4.811623341,48.6812687942702,455.1177674,8.99714706995,16.56478586,10.9326003542737,27.4296958205672
"8","August",2.118880003,11.6361787293468,199.0275759,3.531466672,5.381808064,3.81485588518443,8.9286037767519
"9","September",1.412586669,7.03119882098889,397.4371451,1.8657915581,2.825173338,1.48462553181468,2.15019808135825
"10","October",1.059440002,49.755018699836,4928.765033,1.412586669,1.82091250275,1.4103771928367,3.35392986867894
"11","November",1.059440002,104.247893871896,7123.483283,1.412586669,3.619753339,1.50356789504375,13.3506575408635
"12","December",1.412586669,820.641349865687,17399.66872,4.3348753404,35.03509228,11.8892360045154,259.385259016032
