"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",1.412586669,652.751401339239,9387.727283,21.89509337,188.466283325,42.5513193442429,354.011527458416
"2","February",1.765733336,605.251511221845,7172.555956,138.913184455,262.825728475,1011.23116210738,4624.33262354552
"3","March",103.6926902,795.129568839785,12144.91989,195.43210136,398.5149781,251.103142334476,581.195680221045
"4","April",66.25914344,638.665132697611,4693.436923,206.925553935,374.563541125,241.12565705591,557.012601840668
"5","May",32.12163227,476.819636567312,3686.99835,65.905996767,203.515481425,112.066376448161,376.998029926554
"6","June",9.829248904,196.889084034283,1267.443389,25.0410415915,49.4920339675,29.7686326805516,95.7594402944018
"7","July",3.104747783,40.0774684559073,411.5335829,6.47509128765,12.75742335,8.04440445358552,21.7629673785942
"8","August",1.059440002,8.35519922405242,52.58942453,2.09386544735,3.531466672,2.38353678436247,5.86994026469099
"9","September",0.706293334,4.02238475719028,219.0245059,0.706293334,1.412586669,0.980225866544855,2.17276009277137
"10","October",0.353146667,24.0274076730296,2767.90472,0.706293334,1.059440002,0.584219157148969,1.81797334836222
"11","November",0.353146667,50.0528753079884,4520.601058,0.706293334,1.90552055825,0.97924526798835,5.70395852746484
"12","December",0.765151112,471.584592799449,10213.10462,2.9899751154,21.89509337,7.08804569112413,146.152399695865
