"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",0.706293334,279.990546859101,4205.211655,10.24125335,77.6922667875,16.4699248029796,143.536682984091
"2","February",1.059440002,254.998676857765,2645.524685,32.4122425475,97.60458876,49.4782276897643,184.075653675202
"3","March",33.82850783,386.919321644059,5844.76863,80.2827447335,171.7286028,110.777685109704,277.804371363249
"4","April",35.44709672,337.337066777278,1752.961198,116.45305642,207.14994925,129.743290022559,299.200577124379
"5","May",18.31948336,260.540298714435,1460.349756,40.97972784,126.069681575,68.5370128018466,217.604884184443
"6","June",5.650346675,112.194963708875,608.8984265,14.9116180235,29.425210325,17.8560403516839,57.4993218394767
"7","July",1.765733336,24.6577195283723,252.8677282,3.884613339,7.611046401,4.66914513570587,12.9052066988755
"8","August",0.353146667,4.75629314604973,27.33943782,1.059440002,1.791483614,1.21845201740048,3.33459658482991
"9","September",0.014714444,1.89207858369638,62.34510121,0.353146667,0.706293334,0.412143053139945,1.20290017529463
"10","October",0.014714444,7.28675149448061,972.050916,0.353146667,0.353146667,0.253126672544525,1.01806221598577
"11","November",0.014714444,16.3333163290163,1867.424862,0.353146667,0.765151112,0.387075980853796,2.68938785247132
"12","December",0.353146667,190.832934200166,4245.426232,1.1712697794,9.888106682,2.69643844417381,53.4059797123877
