"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",1.412586669,613.828815398102,8949.163266,21.062991531,176.602762525,38.8687663880555,329.890697555826
"2","February",1.765733336,570.349790060729,6647.868295,131.56037651,245.859973975,924.121300857806,4257.15089817484
"3","March",101.2353779,766.398630733737,11706.97388,190.362239565,380.8061442,242.160507901954,559.775088530492
"4","April",64.4934101,624.597947291653,4406.799545,203.724426535,368.652013075,236.52391422388,546.425955105443
"5","May",31.34176672,469.213735907823,3542.399504,64.5162174895,200.16058805,110.137708125311,372.115715899334
"6","June",9.461387792,193.769902347047,1242.090401,24.3928703185,48.3994864625,29.0530242038499,94.1336841474252
"7","July",2.825173338,39.2612123373387,408.0168306,6.1572592871,12.3748478,7.6967118601655,21.1803971205519
"8","August",0.706293334,7.98572534880914,43.95204562,1.765733336,3.178320005,2.14482682013727,5.59437056655438
"9","September",0.353146667,3.70688997539722,205.7079337,0.706293334,1.11829778,0.804765041645918,2.05320896791369
"10","October",0.353146667,21.8602832058629,2570.966595,0.353146667,0.706293334,0.480584170228945,1.46087305781881
"11","November",0.353146667,45.5506430320783,4260.523252,0.706293334,1.71055416925,0.864817052398073,4.90978138147106
"12","December",0.706293334,440.759366306633,9720.715162,2.4808553374,20.23236114,6.18990461153841,133.058690122535
