"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",1.294871113,571.066363569211,8521.281935,20.211760917,169.054252475,36.0952682732067,305.133105213051
"2","February",1.765733336,530.482600875308,6135.673197,126.908404935,220.9778484,825.960022564862,3803.71152205051
"3","March",97.98348571,730.98794255293,11339.59834,180.588905525,356.416952475,229.468194276019,531.507703808389
"4","April",62.19795676,606.489599481333,4174.620325,199.273307055,363.454135575,230.149565711975,531.893993361156
"5","May",30.35589894,459.254092288669,3398.03609,62.9895938765,193.472873075,107.562073732199,365.264166869718
"6","June",9.12295557,189.531096351792,1217.634994,23.7711850375,47.2002592425,28.273581333737,91.9370050294426
"7","July",2.76631556,38.3201333568118,402.2046251,6.0057005096,12.03273696,7.46229553782255,20.6056021981633
"8","August",0.706293334,7.72447743532527,41.3623034,1.765733336,3.178320005,2.04645123950982,5.40488572978541
"9","September",0.353146667,3.50215482997222,186.6085847,0.706293334,1.059440002,0.765545521763547,1.9695015358578
"10","October",0.353146667,20.0634129267446,2479.236748,0.353146667,0.706293334,0.416813899358844,1.05905245828506
"11","November",0.353146667,42.0032890248377,4011.966856,0.706293334,1.567088336,0.836964624499535,4.63672146851383
"12","December",0.706293334,411.827404593548,9152.987751,2.4396548926,19.0257767,5.85892421878019,123.614443762844
