"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",1.765733336,1000.13477809368,14347.05422,28.60488004,272.059042375,63.1458959561966,543.668003212317
"2","February",2.118880003,934.609828513878,12294.5805,195.119419395,382.472555075,1592.06863338809,7708.45090682141
"3","March",124.7637746,1063.8592218129,16382.87118,249.1405594,547.369976975,328.099205845479,777.794709240709
"4","April",80.9735879,776.774081715569,7204.854161,248.50342392,442.915814325,281.315290573212,658.600052405002
"5","May",38.24284117,545.389510541237,4705.340908,77.736410117,227.68027785,128.352864794181,421.220525450437
"6","June",12.05113002,224.213807409167,1510.084578,29.5090826555,56.8161486975,34.8617423561771,109.660190342032
"7","July",4.061186673,46.1892291136546,443.154924,8.1834382906,15.21473558,9.87715988003292,25.6372354014112
"8","August",1.765733336,10.4930080727917,151.4999202,2.825173338,4.590906674,3.33806996628125,7.39535979227489
"9","September",1.059440002,6.10331375570278,334.9890427,1.412586669,2.118880003,1.59378124377071,3.1718420902618
"10","October",0.706293334,42.053101977496,4438.317885,1.059440002,1.412586669,1.02894780196863,2.73857478639104
"11","November",0.706293334,88.3409454621,6443.808379,1.059440002,3.045890005,1.53341498570654,8.07077377122139
"12","December",1.074154446,727.087887547746,15166.69292,3.9552426726,30.29704116,10.6435167202737,231.862372660948
