"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",1.765733336,929.03716608098,13382.77253,27.076784986,249.461334275,58.6664000099267,504.147066108201
"2","February",2.118880003,867.97812435282,11278.90126,187.4296507,357.03128055,1502.45780815502,7217.55278516988
"3","March",120.7614457,1015.11999780941,15601.00446,240.1816699,521.627056375,315.045066935696,743.029745851699
"4","April",78.1925579,750.646110849403,6737.258545,232.49852269,430.6733965,274.180369209382,640.106203388927
"5","May",36.93325561,532.63359207254,4550.544953,75.3497272265,222.879690325,125.162399072367,412.938319572263
"6","June",11.37426557,219.097398132764,1465.058378,28.5136504865,54.9216639725,33.6501875911851,106.891776773303
"7","July",3.619753339,44.7941509068992,436.9159996,7.4984809007,14.515799465,9.28350339413954,24.63655335503
"8","August",1.412586669,9.83294369685484,119.8785791,2.472026671,4.237760007,2.95086819400845,6.8785197131239
"9","September",0.706293334,5.43806480367917,310.2540616,1.059440002,1.765733336,1.31190050514141,2.82447708914952
"10","October",0.706293334,37.4546582851935,4075.224253,0.706293334,1.397872224,0.820588458467324,1.96995199450751
"11","November",0.706293334,79.0199846498812,6068.737189,1.059440002,2.578706393,1.37052034543756,7.08407317192807
"12","December",1.059440002,673.549190912199,14253.32321,3.7904408946,27.44243893,9.55406464360962,212.002389656966
