"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",1.059440002,548.208941220813,8278.670175,19.77621336,160.232943,34.3194854582848,291.548098410084
"2","February",1.765733336,508.968425769296,5847.373087,123.98170187,209.625654475,766.177305352387,3546.44655309206
"3","March",95.96760682,710.553594016156,11115.01178,172.439310435,342.276371375,221.495940968164,514.721975655281
"4","April",60.82951343,595.594612344222,4024.768423,196.558492075,356.847350025,226.130962296472,523.026064799902
"5","May",29.79675005,453.17952228172,3313.207317,62.019911984,191.0413111,105.923167386128,361.001186582558
"6","June",8.843381125,186.840816569851,1195.578042,23.305472873,46.593288405,27.7575108028656,90.4806568098371
"7","July",2.472026671,37.7222799407809,399.1440206,5.9240353427,11.8708780775,7.29080748035424,20.2572133228674
"8","August",0.706293334,7.5429057933078,40.65601006,1.721590003,3.13049806075,1.97991988022689,5.27460331593158
"9","September",0.353146667,3.37079311319861,177.7357747,0.706293334,1.059440002,0.726141669681946,1.89033351688208
"10","October",0.353146667,18.9012001533199,2374.013756,0.353146667,0.706293334,0.403486547361084,0.963589935773272
"11","November",0.353146667,40.1347891571087,3872.827069,0.706293334,1.500873336,0.811892798180225,4.44822829170244
"12","December",0.706293334,395.922172648964,8878.754649,2.3601968928,18.05462336,5.64116407768919,118.15828540961
