"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",0.02,64.1346569343066,2910,1.2,3.51,0.749910430918551,9.79860723186468
"2","February",0.02,83.720031496063,2300,2.14,4.585,1.92189356331832,19.5467276982512
"3","March",0.01,72.5967127071823,2080,1.3315,4.4175,2.15192993752366,22.0708362026993
"4","April",0.02,40.4310833333333,772,0.07,2.52,0.590456389665362,13.370430176339
"5","May",0.01,18.6561267605634,286,0.0445,0.915,0.222503438383924,6.47423333320202
"6","June",0.01,9.37577629382304,88,0.02,1.5,0.120158221566526,3.62954555893743
"7","July",0.01,4.29201941747573,39,0.03,0.255,0.0665097022048079,1.44003335324179
"8","August",0.01,2.75990909090909,20,0.04,0.2325,0.0825174933769153,1.14997034057529
"9","September",0.01,2.132875,15,0.04,0.22,0.0750608654268393,1.01187513443765
"10","October",0.01,2.30432234432234,61.6,0.02,0.35,0.0760040185222615,0.969915283625501
"11","November",0.01,3.9039226519337,121,0.1705,0.63,0.273815803945948,1.76562967734317
"12","December",0.02,15.8072508591065,744,0.6,1.6,0.650975380994523,3.50238234962077
