"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",2.118882,1141.8920217141,16670.62785,31.135793844,296.6729089,69.7644872515172,612.865624127961
"2","February",2.472029,1066.21892382948,14895.96118,208.66426216,421.3411573,1769.2301797784,8899.97217557828
"3","March",131.7532599,1155.30779425672,18099.57833,262.937070335,593.12142225,349.979662518812,839.391220048855
"4","April",85.461574,823.817414465861,7973.07339,259.85291986,457.99119415,292.773204094101,689.944588742565
"5","May",40.4647604,567.59087162828,4972.883624,81.4776344105,236.354665625,133.896421301047,435.225778241661
"6","June",13.15472575,232.929762090236,1580.465255,31.3528320785,59.6597713,37.0258570940971,114.68564032484
"7","July",4.811627875,48.6813146704032,455.1181963,8.99715553625,16.5648014825,10.9326118689191,27.4297317056809
"8","August",2.118882,11.6361896949772,199.0277634,3.53147,5.3818131325,3.81485948015196,8.92861219115903
"9","September",1.412588,7.03120544752222,397.4375197,1.86579332775,2.825176,1.48462693072347,2.1502001075184
"10","October",1.059441,49.7550655852863,4928.769677,1.412588,1.8209142275,1.41037852111496,3.3539330194927
"11","November",1.059441,104.247992114109,7123.489995,1.412588,3.61975675,1.50356931147848,13.3506701233209
"12","December",1.412588,820.642123214039,17399.68512,4.334879418,35.03512528,11.8892471986594,259.385503471195
