"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",85,580.786827956989,20100,105.15,147,114.452534645122,259.577192262446
"2","February",90,604.983038348083,6920,134.85,222.25,157.489943575339,359.739461142968
"3","March",97.7,680.620295698925,7560,148.15,297,195.435840353295,457.89056025683
"4","April",85.2,514.898888888889,4050,131.9,247,163.624403029914,399.31996703593
"5","May",76.4,400.502284946237,4830,98.86,168.75,120.467236282595,264.027373525147
"6","June",63.2,208.795555555556,1140,75.195,109,86.1759809371139,150.767472294268
"7","July",56,123.137096774194,347,65,86.95,71.6594593276771,108.391269271387
"8","August",58.1,100.586827956989,207,61,77,67.1299965605309,91.5421031024076
"9","September",60.4,94.1718055555556,163,62.395,76.1,68.4050647209394,88.9002889265667
"10","October",58.1,104.102150537634,512,65.9,81,71.3592616751681,95.9711244646549
"11","November",65.9,141.296666666667,3320,75.805,94.1,66.180652098543,75.1957475295252
"12","December",69.2,425.185694249649,14800,89.66,121,94.8069913228209,192.501663426446
