feature_id,gages
17610503,
17610513,
17610547,
17610567,
17611449,11123500
17610647,
17610631,
17610623,
17610611,
17610619,
17610641,
17610661,
17610659,
17610665,
17610689,
17610691,
17610649,
17610645,
17610669,
17610671,
17610687,
17610751,
17610749,
17610769,
17611453,
17610779,
17610737,
17610789,
17610795,
17610817,
17610837,
17610841,
17610773,
17610807,
17610823,
17610821,
17610753,
17610747,
17610757,
17610793,
17610885,
17610889,
17610923,
17610919,11123000
17611023,
17611043,
17611037,
17611041,
17611049,
17611063,
17611053,
17610989,
17610967,
17610915,
17610873,
17610851,
17610713,
17610701,
17610931,
17610905,
17610845,
17610835,
17610585,
17610563,
17610561,
17610535,
17610519,
17610847,
17610829,
17610721,
17610603,
17610591,
17610541,
17610725,
17610765,
17611021,
17611061,
17611011,
17610999,
17610995,
17610997,
17610987,
17610983,
17611015,
17611025,
17611047,
17611069,
17611071,
17611059,
17610615,
17610617,
17610991,
17611029,
17611051,
17611533,
17611531,
17611553,
17611551,
17611545,
17611543,
17611541,
17611565,
17611563,
17611561,
17611557,
17608421,
17608485,
17608503,
17608529,
17608531,
17608557,
17608555,
17608551,
17608549,
17608545,
17608541,
17608521,
17608519,
948060325,11133000
17607969,
17607985,
17608021,
17609017,11132500
17608191,
17608207,
17608205,
17608259,
17608263,
17608285,
17608327,
17609043,
17607903,
17607901,
17607899,
17607913,
17607873,
17608987,
17607933,
17607941,
948060195,
948060196,
17607975,
17607977,
17607993,
948060199,
948060200,
17607865,
17607889,
17607919,
948060193,
948060194,
17607847,
17607853,
17607843,
17607839,
17608993,
17608047,
17608055,
17608067,
17609015,11128500
17608097,
17608099,
17608117,
17608123,
17608121,
17609011,
17608101,
17608129,
17608137,
17608147,
17608167,
17608173,
17608133,
17608037,
17608041,
17608057,
17608043,
17608051,
17608035,
17608033,
17608005,
17608085,
17607945,11128250
17607755,
17608997,
17607937,
17607877,
17607831,
17607795,
17609001,
17607929,
17608177,
17608201,
17611427,
17610189,
17611429,
17610233,
17611481,
17611425,11124500
17610153,
17610135,
17610093,
17610079,
17610007,
17609997,
17609971,
17609969,
17609959,
17609897,
17609861,
17609857,
17609893,
17611423,
17609935,
17609903,
17609889,
17611495,
17611493,
17611491,
17611489,
17611487,
17611479,
17611513,
17611509,
17611507,
17611499,
17611497,
17615593,
17611573,
17611523,
17611517,
17610479,
17610409,
17609929,
17609923,
17609885,
17609927,
17609905,
17609895,
17611411,
17611407,
17609815,
17609665,
17610453,
17610437,
17610311,
17610209,
17610195,
17610185,
17610173,
17610113,
17610091,
17610057,
17610053,
17610045,
17610021,
17610035,
17610031,
17610005,
17609977,
17609953,
17609945,
17609853,
