"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",0.353147,208.924621084337,10033.68614,0.706294,2.472029,1.06261433855799,13.4371752963365
"2","February",0.353147,214.357916673437,5629.16318,1.765735,11.9407829375,3.13730161247637,49.9566404241459
"3","March",1.95702297,170.275366630954,5758.812272,4.590911,14.64456466,8.52758187454582,61.6262623576975
"4","April",2.825176,65.9091150986667,1499.418019,5.297205,11.4000265975,6.92077196417213,29.8366628627792
"5","May",2.118882,19.6466893903293,277.0879649,3.178323,6.69139992125,4.28433601352462,13.8666352071071
"6","June",1.412588,7.73410880421111,46.51240278,2.118882,3.5976850625,2.56782427224043,6.5838775728609
"7","July",1.059441,3.74237723623656,9.505540095,1.412588,2.118882,1.6491864514273,3.51542990221279
"8","August",0.706294,2.53630766567876,112.5950352,1.059441,1.412588,0.709012630585383,0.811807884267726
"9","September",0.706294,1.70040800719722,85.65286197,0.706294,1.059441,0.70636406058672,0.735502389421721
"10","October",0.706294,6.53578518069086,2282.933496,0.706294,1.059441,0.706335657518125,0.749128557957937
"11","November",0.353147,18.1574457777464,2509.590999,0.706294,0.72468707875,0.377480976940582,0.71366253295888
"12","December",0.353147,63.3560111613436,4966.468119,0.626835932,1.059441,0.566374858599449,2.47833347283091
