"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",18.010497,324.911232807715,2753.207584,54.8209217045,191.317387275,95.3477514546645,272.876890182669
"2","February",44.51123647,289.938885797522,4104.509867,115.2443734,166.622847525,130.685011315432,245.387315562054
"3","March",55.88551275,265.055853048898,1331.408333,107.080056155,167.7411464,126.095599097132,231.79048310239
"4","April",35.43241565,222.435614775861,2228.666574,71.780070647,119.52922365,81.46751318242,177.784778889429
"5","May",9.314252125,150.441519180773,1523.02001,30.224233147,70.7434370675,40.0581111111993,112.315939455456
"6","June",1.765735,84.0420245028125,1136.029756,7.79645573625,24.8784704225,11.7242469047808,44.0764758131319
"7","July",1.118298845,58.2158755366062,5086.17024,3.66831446075,10.9438783825,5.41729893334477,23.9172720364445
"8","August",0.706294,31.3518647954839,1290.325566,1.2360145,7.47126621,2.82655483487461,15.4435245023346
"9","September",0.353147,47.0854343350806,1600.123772,0.706294,5.297205,1.69943212850174,14.5454528423157
"10","October",0.353147,78.1268893828763,978.2466188,1.059441,4.1789061725,1.66303609866149,30.2204044421841
"11","November",0.353147,118.509237375913,1188.383798,2.1255035115,24.8711131975,5.86712067982444,65.9708725503071
"12","December",2.472029,266.96103301141,5971.98063,10.553209512,110.5497255,30.9907917764043,169.152662685669
