"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",4.94405327,53.4093710716519,535.2820531,10.373683203,29.66431962,17.1612197453025,44.5221076591588
"2","February",8.313661004,46.9657261418643,549.9670685,19.582718134,27.5307252025,21.9240244869462,39.9525447954232
"3","March",8.254803227,44.2096394604597,268.2884621,17.285793393,27.05986299,20.0349741524213,37.8355284258699
"4","April",5.650346594,37.7525189223569,300.2040917,10.798930641,19.3642086375,12.8084198454737,29.342506111491
"5","May",2.118879973,27.9373052179489,373.4967385,5.9218280908,12.8309953925,7.61733977901034,19.9094742377877
"6","June",0.706293324,16.7770842103583,206.3553662,2.472026635,5.779097981,3.06505887925203,9.89439945350076
"7","July",0.706293324,12.294671517746,491.5507248,1.339014427,3.37328634575,1.84681739731413,6.42170423853823
"8","August",0.353146662,7.46480981454704,291.272424,0.706293324,2.751601076,1.20007137654834,4.51914785652967
"9","September",0.353146662,10.9625582315917,304.7214261,0.353146662,1.765733311,0.710930820436018,3.7474040689987
"10","October",0.353146662,14.3354124694153,228.5447482,0.353146662,1.059439986,0.658473987248291,5.83454177540763
"11","November",0.353146662,21.1620132355913,322.0697559,0.706293324,4.49158410875,1.47555710054792,11.623043953381
"12","December",1.059439986,44.9707974654713,947.8897845,2.8604879632,19.39363753,6.61708558016805,29.4705360650408
