"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",8.681522111,127.672087062612,1306.083501,22.1702531575,72.9211071175,38.7326117469546,106.249625358233
"2","February",16.27417535,112.969046822802,1509.348834,46.376985406,66.09728359,51.5482490528251,96.1633886486945
"3","March",21.14465639,104.950647794664,623.9807231,42.2944628435,64.570660005,48.5723949283702,90.4010645172073
"4","April",13.71386205,88.6624858146528,878.4376076,26.040887719,46.1297827375,31.0922527508869,69.5240049490653
"5","May",3.884613283,61.8723951919099,804.1738074,12.2895038425,28.1524104675,16.1412511605067,43.5282069873982
"6","June",1.059439986,34.6233400049319,484.1787882,3.605038843,10.5024345875,5.15017669452595,18.6114104924793
"7","July",0.706293324,23.9510932278051,1392.163,1.75322603275,4.94405327,2.54287550848851,10.6258507638435
"8","August",0.353146662,13.6956362002272,701.1874121,0.706293324,3.531466621,1.51506142938242,6.98325188284883
"9","September",0.353146662,21.096018839825,780.1304055,0.353146662,2.472026635,0.89668528377835,6.0603142170757
"10","October",0.353146662,31.6363679927285,516.1091323,0.6937860466,1.71791136675,0.909513982265853,11.9236696238217
"11","November",0.353146662,48.0975226883203,686.3552523,1.059439986,9.90649959525,2.63396132853189,25.817577814122
"12","December",1.48615887,106.065498334282,1958.09524,4.5732492748,44.34933499,13.4176915242733,67.9601855488663
