"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",3.884613283,41.6082249630027,419.0526579,8.6646004994,22.9508544275,13.6616408206132,34.7507059834337
"2","February",6.945217688,36.4932324300413,426.3657367,15.310379244,21.7185197225,17.1981267316948,31.0194492036228
"3","March",6.547927694,34.4346672920349,210.0045484,13.636611213,21.14097778,15.6545260199781,29.4751058982029
"4","April",4.590906608,29.5832842758889,237.5647025,8.4424123919,15.15219897,10.089325214905,22.9719396763416
"5","May",1.765733311,22.024941190375,295.0540362,4.6968506061,10.27803931,6.101603466032,15.7465186936607
"6","June",0.706293324,13.2387638532333,160.740589,1.96805691895,4.605621052,2.51565829723084,7.84116393626256
"7","July",0.353146662,9.63076198490457,374.1000307,1.059439986,2.729529409,1.50433793874401,5.09138806882117
"8","August",0.353146662,5.8541463216586,225.6165738,0.60549938075,2.118879973,0.983930918637331,3.5960528808185
"9","September",0.353146662,8.5854601989,239.8748702,0.353146662,1.412586649,0.613313082276878,3.01308344527325
"10","October",0.353146662,11.2192189649395,177.5297699,0.353146662,1.059439986,0.544015912066024,4.58983579917784
"11","November",0.353146662,16.6111593836826,257.62049,0.706293324,3.531466621,1.22606716045389,9.19358955616914
"12","December",1.030011098,35.1828328220084,731.0724484,2.4367119686,15.25887869,5.374872945483,23.220327401447
