Number,USGS_ID,COM_ID,Min_Dis_Jan,Min_Dis_Feb,Min_Dis_Mar,Min_Dis_Apr,Min_Dis_May,Min_Dis_Jun,Min_Dis_Jul,Min_Dis_Aug,Min_Dis_Sep,Min_Dis_Oct,Min_Dis_Nov,Min_Dis_Dec,Max_Dis_Jan,Max_Dis_Feb,Max_Dis_Mar,Max_Dis_Apr,Max_Dis_May,Max_Dis_Jun,Max_Dis_Jul,Max_Dis_Aug,Max_Dis_Sep,Max_Dis_Oct,Max_Dis_Nov,Max_Dis_Dec,Ave_Dis_Jan,Ave_Dis_Feb,Ave_Dis_Mar,Ave_Dis_Apr,Ave_Dis_May,Ave_Dis_Jun,Ave_Dis_Jul,Ave_Dis_Aug,Ave_Dis_Sep,Ave_Dis_Oct,Ave_Dis_Nov,Ave_Dis_Dec,Min_Temp_Jan,Min_Temp_Feb,Min_Temp_Mar,Min_Temp_Apr,Min_Temp_May,Min_Temp_Jun,Min_Temp_Jul,Min_Temp_Aug,Min_Temp_Sep,Min_Temp_Oct,Min_Temp_Nov,Min_Temp_Dec,Max_Temp_Jan,Max_Temp_Feb,Max_Temp_Mar,Max_Temp_Apr,Max_Temp_May,Max_Temp_Jun,Max_Temp_Jul,Max_Temp_Aug,Max_Temp_Sep,Max_Temp_Oct,Max_Temp_Nov,Max_Temp_Dec,Ave_Temp_Jan,Ave_Temp_Feb,Ave_Temp_Mar,Ave_Temp_Apr,Ave_Temp_May,Ave_Temp_Jun,Ave_Temp_Jul,Ave_Temp_Aug,Ave_Temp_Sep,Ave_Temp_Oct,Ave_Temp_Nov,Ave_Temp_Dec,Min_Do_Jan,Min_Do_Feb,Min_Do_Mar,Min_Do_Apr,Min_Do_May,Min_Do_Jun,Min_Do_Jul,Min_Do_Aug,Min_Do_Sep,Min_Do_Oct,Min_Do_Nov,Min_Do_Dec,Max_Do_Jan,Max_Do_Feb,Max_Do_Mar,Max_Do_Apr,Max_Do_May,Max_Do_Jun,Max_Do_Jul,Max_Do_Aug,Max_Do_Sep,Max_Do_Oct,Max_Do_Nov,Max_Do_Dec,Ave_Do_Jan,Ave_Do_Feb,Ave_Do_Mar,Ave_Do_Apr,Ave_Do_May,Ave_Do_Jun,Ave_Do_Jul,Ave_Do_Aug,Ave_Do_Sep,Ave_Do_Oct,Ave_Do_Nov,Ave_Do_Dec,Base_Dis_5%,Base_Dis_25%,Dis_Avail_Data_%,Temp_Avail_Data_%,DO_Avail_Data_%,HDI
36,10271210,99999,4,4.6,4.6,6.2,8.2,6.8,12,13,6.2,4.2,3.6,4.6,60,59,80,154,184,151,244,174,82,112,89,45,17.17271505,20.15855457,20.16451613,20.44972222,28.14072581,39.96013889,71.6827957,50.3561828,29.97986111,22.80967742,19.74086957,17.46605891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,15,100,0,0,14
37,10276000,99999,4,4.6,4.6,6.2,8.2,6.8,12,13,6.2,4.2,3.6,4.6,60,59,80,154,184,151,244,174,82,112,89,45,17.17271505,20.15855457,20.16451613,20.44972222,28.14072581,39.96013889,71.6827957,50.3561828,29.97986111,22.80967742,19.74086957,17.46605891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,15,100,0,0,11
38,10277500,99999,4,4.6,4.6,6.2,8.2,6.8,12,13,6.2,4.2,3.6,4.6,60,59,80,154,184,151,244,174,82,112,89,45,17.17271505,20.15855457,20.16451613,20.44972222,28.14072581,39.96013889,71.6827957,50.3561828,29.97986111,22.80967742,19.74086957,17.46605891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,15,100,0,0,15
39,10281800,99999,4,4.6,4.6,6.2,8.2,6.8,12,13,6.2,4.2,3.6,4.6,60,59,80,154,184,151,244,174,82,112,89,45,17.17271505,20.15855457,20.16451613,20.44972222,28.14072581,39.96013889,71.6827957,50.3561828,29.97986111,22.80967742,19.74086957,17.46605891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,15,100,0,0,6
40,10286000,99999,4,4.6,4.6,6.2,8.2,6.8,12,13,6.2,4.2,3.6,4.6,60,59,80,154,184,151,244,174,82,112,89,45,17.17271505,20.15855457,20.16451613,20.44972222,28.14072581,39.96013889,71.6827957,50.3561828,29.97986111,22.80967742,19.74086957,17.46605891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,15,100,0,0,7
41,10286001,99999,4,4.6,4.6,6.2,8.2,6.8,12,13,6.2,4.2,3.6,4.6,60,59,80,154,184,151,244,174,82,112,89,45,17.17271505,20.15855457,20.16451613,20.44972222,28.14072581,39.96013889,71.6827957,50.3561828,29.97986111,22.80967742,19.74086957,17.46605891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,15,100,0,0,7
42,10287069,99999,0,0,0,0,0,0,0,0,0,0,0,0,50,3.6,12,22,42,137,146,82,22,15,16,3.7,1.000841515,0.628323077,0.728909091,0.863541667,1.267836022,12.70692199,23.89717742,6.756236559,3.567833333,2.120336606,1.440536232,0.829604685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,0
43,10287070,99999,0,0,0,0,0,0,0,0,0,0,0,0,50,3.6,12,22,42,137,146,82,22,15,16,3.7,1.000841515,0.628323077,0.728909091,0.863541667,1.267836022,12.70692199,23.89717742,6.756236559,3.567833333,2.120336606,1.440536232,0.829604685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,10
44,10287289,99999,0.25,0.12,0.04,0,0,0.01,0.01,0,0,0,0.17,0.03,51,7.2,9.7,172,172,223,397,254,52,178,57,57,2.598826979,1.874235105,2.111818182,5.194593023,8.286538988,35.40870833,44.54497312,8.299435484,2.949097222,7.093018868,3.817272727,4.304156627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262,1.5,100,0,0,0
45,10287290,99999,0.25,0.12,0.04,0,0,0.01,0.01,0,0,0,0.17,0.03,51,7.2,9.7,172,172,223,397,254,52,178,57,57,2.598826979,1.874235105,2.111818182,5.194593023,8.286538988,35.40870833,44.54497312,8.299435484,2.949097222,7.093018868,3.817272727,4.304156627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262,1.5,100,0,0,20
46,10287300,99999,0,0,0,0,0,0,0,0,0,0,0,0,96,102,103,101,106,104,106,106,103,104,102,79,32.97607527,36.10783186,42.66612903,32.16972222,50.36971774,63.48375,61.68172043,39.10739247,44.05265278,52.60448808,41.63130435,33.60701262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.265,20,100,0,0,20
47,10287400,99999,0,0,0,0,0,0,0,0,0,0,0,0,96,102,103,101,106,104,106,106,103,104,102,79,32.97607527,36.10783186,42.66612903,32.16972222,50.36971774,63.48375,61.68172043,39.10739247,44.05265278,52.60448808,41.63130435,33.60701262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.265,20,100,0,0,18
48,10287655,99999,0.56,1.2,1.3,1.8,3,3.1,3,2.9,2.9,3,2.4,1,22,19,33,38,38,43,49,60,57,33,24,23,10.98952462,10.73091248,10.52699491,10.49754386,8.356706282,8.407719298,9.596943973,10.65314092,11.1654386,9.120882852,9.583508772,11.05704584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.9,100,0,0,0
49,10287720,99999,0.8,1.2,1,1.1,1.3,0.8,1.8,2,1.4,1.4,0.62,1,5,3.8,7.2,19,42,61,63,36,51,30,30,31,2.544155844,2.437168142,2.297580645,3.849553571,7.579310345,16.02080292,10.79405772,5.651194539,4.749340866,8.562903226,9.307716535,5.220496894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.4,100,0,0,0
