Number,USGS_ID,COM_ID,Min_Dis_Jan,Min_Dis_Feb,Min_Dis_Mar,Min_Dis_Apr,Min_Dis_May,Min_Dis_Jun,Min_Dis_Jul,Min_Dis_Aug,Min_Dis_Sep,Min_Dis_Oct,Min_Dis_Nov,Min_Dis_Dec,Max_Dis_Jan,Max_Dis_Feb,Max_Dis_Mar,Max_Dis_Apr,Max_Dis_May,Max_Dis_Jun,Max_Dis_Jul,Max_Dis_Aug,Max_Dis_Sep,Max_Dis_Oct,Max_Dis_Nov,Max_Dis_Dec,Ave_Dis_Jan,Ave_Dis_Feb,Ave_Dis_Mar,Ave_Dis_Apr,Ave_Dis_May,Ave_Dis_Jun,Ave_Dis_Jul,Ave_Dis_Aug,Ave_Dis_Sep,Ave_Dis_Oct,Ave_Dis_Nov,Ave_Dis_Dec,Min_Temp_Jan,Min_Temp_Feb,Min_Temp_Mar,Min_Temp_Apr,Min_Temp_May,Min_Temp_Jun,Min_Temp_Jul,Min_Temp_Aug,Min_Temp_Sep,Min_Temp_Oct,Min_Temp_Nov,Min_Temp_Dec,Max_Temp_Jan,Max_Temp_Feb,Max_Temp_Mar,Max_Temp_Apr,Max_Temp_May,Max_Temp_Jun,Max_Temp_Jul,Max_Temp_Aug,Max_Temp_Sep,Max_Temp_Oct,Max_Temp_Nov,Max_Temp_Dec,Ave_Temp_Jan,Ave_Temp_Feb,Ave_Temp_Mar,Ave_Temp_Apr,Ave_Temp_May,Ave_Temp_Jun,Ave_Temp_Jul,Ave_Temp_Aug,Ave_Temp_Sep,Ave_Temp_Oct,Ave_Temp_Nov,Ave_Temp_Dec,Min_Do_Jan,Min_Do_Feb,Min_Do_Mar,Min_Do_Apr,Min_Do_May,Min_Do_Jun,Min_Do_Jul,Min_Do_Aug,Min_Do_Sep,Min_Do_Oct,Min_Do_Nov,Min_Do_Dec,Max_Do_Jan,Max_Do_Feb,Max_Do_Mar,Max_Do_Apr,Max_Do_May,Max_Do_Jun,Max_Do_Jul,Max_Do_Aug,Max_Do_Sep,Max_Do_Oct,Max_Do_Nov,Max_Do_Dec,Ave_Do_Jan,Ave_Do_Feb,Ave_Do_Mar,Ave_Do_Apr,Ave_Do_May,Ave_Do_Jun,Ave_Do_Jul,Ave_Do_Aug,Ave_Do_Sep,Ave_Do_Oct,Ave_Do_Nov,Ave_Do_Dec,Base_Dis_5%,Base_Dis_25%,Dis_Avail_Data_%,Temp_Avail_Data_%,DO_Avail_Data_%,HDI
174,11070500,99999,0.44,0.44,0.5,0.22,0,0,0,0,0,0,0.08,0.39,4490,3710,1390,258,97,17,3.37,3.62,3.13,1010,305,3040,65.01581989,72.02069322,24.27369624,6.081347222,2.677325269,0.945236111,0.309233871,0.251209677,0.22025,3.388763441,1.556028986,11.69619916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,100,0,0,26
175,11072100,99999,0.5,1.1,0.95,0.49,0.38,0.77,0.95,1.03,1.09,0.79,0.74,0.53,1930,2090,889,641,209,159,151,56.5,311,607,427,2870,54.78141129,81.0139528,54.19622312,33.71456944,18.01567204,10.38466667,9.114905914,8.305107527,9.327055556,12.05599462,15.72702899,28.31107994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,3.9,100,0,0,0
176,11073000,99999,0.5,1.1,0.95,0.49,0.38,0.77,0.95,1.03,1.09,0.79,0.74,0.53,1930,2090,889,641,209,159,151,56.5,311,607,427,2870,54.78141129,81.0139528,54.19622312,33.71456944,18.01567204,10.38466667,9.114905914,8.305107527,9.327055556,12.05599462,15.72702899,28.31107994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,3.9,100,0,0,7
177,11073001,99999,0.5,1.1,0.95,0.49,0.38,0.77,0.95,1.03,1.09,0.79,0.74,0.53,1930,2090,889,641,209,159,151,56.5,311,607,427,2870,54.78141129,81.0139528,54.19622312,33.71456944,18.01567204,10.38466667,9.114905914,8.305107527,9.327055556,12.05599462,15.72702899,28.31107994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,3.9,100,0,0,7
178,11073300,99999,0,0,0,0,0,0,0,0,0,0,0,0,1210,420,346,153,74.8,109,118,124,140,650,179,481,18.98460573,15.94060904,5.396648746,2.84962963,2.459390681,6.588240741,10.04679211,10.37496416,5.04287037,14.04620072,8.300901961,11.37975926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.13,100,0,0,0
179,11073360,99999,0.11,0.15,0.19,0.17,0.14,0.11,0.08,0.1,0.09,0.08,0.14,0.15,1560,1000,780,310,174,226,130,212,250,865,413,863,33.26262097,33.99985251,13.17598118,9.142638889,13.17962366,13.72033333,16.2980914,16.85642473,13.65404167,14.8193414,11.62214493,16.78099579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.84,100,0,0,29
180,11073470,99999,0.11,0.15,0.19,0.17,0.14,0.11,0.08,0.1,0.09,0.08,0.14,0.15,1560,1000,780,310,174,226,130,212,250,865,413,863,33.26262097,33.99985251,13.17598118,9.142638889,13.17962366,13.72033333,16.2980914,16.85642473,13.65404167,14.8193414,11.62214493,16.78099579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.84,100,0,0,4
181,11073495,99999,4.52,2.94,2.44,2.41,1.3,1.62,1.86,0.94,0.64,2.62,2.55,4.63,5200,2490,1690,1040,461,445,78.6,205,435,2740,857,2500,95.07073925,108.5157965,64.37627688,48.19766667,36.54783602,30.70030556,28.92353495,28.06700269,30.51719444,43.40768817,45.04569565,72.09563815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38,24.6,100,0,0,30
182,11074000,99999,80.3,99.3,83.3,61.2,55.7,54.7,42.6,50.1,5.8,40.2,76.9,72.7,11400,6170,5690,3310,5040,680,537,458,535,2750,1130,5010,737.3268817,709.6567847,479.8325269,336.1247222,278.2032258,223.2644444,190.5831989,163.2237903,158.2256944,206.763172,216.9488406,354.2152875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.82,154,100,0,0,32
183,11075720,99999,0,0,0,0,0,0,0,0,0,0,0,0,381,362,176,42,57,14,1.7,1.9,2.33,86.7,30,264,5.208400538,7.151696165,2.830833333,1.078694444,0.553575269,0.191805556,0.057163978,0.016532258,0.021944444,0.321223118,0.22526087,1.815876578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,26
184,11075800,99999,0,0,0,0,0,0,0,0,0,0,0,0,1050,3200,640,76,67,19,4.3,0.39,0.57,73.2,24,1220,18.54475806,30.88115044,14.53186828,4.219083333,2.663373656,0.828625,0.126895161,0.008145161,0.001305556,0.228629032,0.240695652,5.646213184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,12
185,11077500,99999,0,0,0,0,0,0,0,0,0,0,0,0,1200,2800,1580,50.9,45,7,18.6,1.8,30.7,338,82,288,14.45919355,41.92016224,11.22961022,0.597555556,0.265040323,0.009930556,0.041184388,0.008225806,0.067652778,1.06029453,0.643227273,3.351107914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,28
186,11078000,99999,0,0,0,0,0,0,0,0,0,0,0,0,12600,8770,6500,3690,4280,450,81,12,155,3130,918,9990,551.0051613,506.1498673,200.0489382,67.04836111,38.07274194,3.394,1.532459677,0.042647849,0.579027778,31.86771505,12.6702029,108.7934502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,0
187,11080500,99999,0,0,0,0,0,0,0,0,0,0,0,0,12600,8770,6500,3690,4280,450,81,12,155,3130,918,9990,551.0051613,506.1498673,200.0489382,67.04836111,38.07274194,3.394,1.532459677,0.042647849,0.579027778,31.86771505,12.6702029,108.7934502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,10
188,11082000,99999,0,0,0,0,0,0,0,0,0,0,0,0,12600,8770,6500,3690,4280,450,81,12,155,3130,918,9990,551.0051613,506.1498673,200.0489382,67.04836111,38.07274194,3.394,1.532459677,0.042647849,0.579027778,31.86771505,12.6702029,108.7934502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,14
189,11084500,99999,0,0,0,0,0,0,0,0,0,0,0,0,12600,8770,6500,3690,4280,450,81,12,155,3130,918,9990,551.0051613,506.1498673,200.0489382,67.04836111,38.07274194,3.394,1.532459677,0.042647849,0.579027778,31.86771505,12.6702029,108.7934502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,13
190,11085000,99999,0,0,0,0,0,0,0,0,0,0,0,0,18100,11300,5430,476,2950,311,501,447,66,181,100,445,212.5597849,224.7079794,86.49182796,20.92188889,57.81450269,10.42254167,24.13466398,11.29866935,0.577958333,1.765,0.518695652,7.722973352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,19
191,11086300,99999,0,0,0,0,0,0,0,0,0,0,0,0,18100,11300,5430,476,2950,311,501,447,66,181,100,445,212.5597849,224.7079794,86.49182796,20.92188889,57.81450269,10.42254167,24.13466398,11.29866935,0.577958333,1.765,0.518695652,7.722973352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,16
192,11086500,99999,0,0,0,0,0,0,0,0,0,0,0,0,18100,11300,5430,476,2950,311,501,447,66,181,100,445,212.5597849,224.7079794,86.49182796,20.92188889,57.81450269,10.42254167,24.13466398,11.29866935,0.577958333,1.765,0.518695652,7.722973352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,13
193,11087020,99999,0.02,0,1.02,0,0,0,0,0,0,0,0,0.3,29600,25000,6700,2270,4330,1710,260,316,1200,5970,2520,6370,599.684543,627.290236,244.4928091,119.3690278,105.4760484,66.82508333,48.75102151,54.18216398,42.58506944,88.98818548,119.7523623,211.8394811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.484,32.2,100,0,0,30
194,11087500,99999,0.02,0,1.02,0,0,0,0,0,0,0,0,0.3,29600,25000,6700,2270,4330,1710,260,316,1200,5970,2520,6370,599.684543,627.290236,244.4928091,119.3690278,105.4760484,66.82508333,48.75102151,54.18216398,42.58506944,88.98818548,119.7523623,211.8394811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.484,32.2,100,0,0,34
195,11088000,99999,0.02,0,1.02,0,0,0,0,0,0,0,0,0.3,29600,25000,6700,2270,4330,1710,260,316,1200,5970,2520,6370,599.684543,627.290236,244.4928091,119.3690278,105.4760484,66.82508333,48.75102151,54.18216398,42.58506944,88.98818548,119.7523623,211.8394811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.484,32.2,100,0,0,33
196,11088500,99999,0.16,0.14,0.14,0,0,0,0,0,0,0,0,0,751,1230,531,137,196,96,29.4,6.3,76.7,401,125,501,18.55879032,28.10859882,10.79662634,5.029361111,3.147903226,1.740458333,1.101666667,0.854435484,1.253555556,3.106075269,3.56773913,9.940462833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.54,100,0,0,23
197,11089000,99999,0.16,0.14,0.14,0,0,0,0,0,0,0,0,0,751,1230,531,137,196,96,29.4,6.3,76.7,401,125,501,18.55879032,28.10859882,10.79662634,5.029361111,3.147903226,1.740458333,1.101666667,0.854435484,1.253555556,3.106075269,3.56773913,9.940462833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.54,100,0,0,24
198,11089500,99999,0.13,0,0.21,0.13,0.07,0.02,0,0.05,0.15,0.19,0.12,0,212,242,166,71.5,88,32,9.06,0.99,41.4,117,72,233,6.339475806,7.914247788,3.168561828,1.478875,0.860094086,0.571263889,0.407217742,0.384193548,0.512930556,1.243642473,1.482014493,3.889481066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.3,100,0,0,34
199,11090200,99999,0.13,0,0.21,0.13,0.07,0.02,0,0.05,0.15,0.19,0.12,0,212,242,166,71.5,88,32,9.06,0.99,41.4,117,72,233,6.339475806,7.914247788,3.168561828,1.478875,0.860094086,0.571263889,0.407217742,0.384193548,0.512930556,1.243642473,1.482014493,3.889481066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.3,100,0,0,35
200,11092450,99999,42.6,45.8,42.4,39.5,23.7,41.3,31.8,39.1,39,21.5,39.5,15,7790,8750,8970,2010,2180,172,514,92,1010,2330,1890,7000,222.9951613,265.720202,153.9112903,98.41,77.99354839,67.88619048,66.53502304,63.44262673,67.52214286,91.4825431,92.12857143,171.7140553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.215,58.8,100,0,0,41
201,11093000,99999,42.6,45.8,42.4,39.5,23.7,41.3,31.8,39.1,39,21.5,39.5,15,7790,8750,8970,2010,2180,172,514,92,1010,2330,1890,7000,222.9951613,265.720202,153.9112903,98.41,77.99354839,67.88619048,66.53502304,63.44262673,67.52214286,91.4825431,92.12857143,171.7140553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.215,58.8,100,0,0,18
202,11094000,99999,42.6,45.8,42.4,39.5,23.7,41.3,31.8,39.1,39,21.5,39.5,15,7790,8750,8970,2010,2180,172,514,92,1010,2330,1890,7000,222.9951613,265.720202,153.9112903,98.41,77.99354839,67.88619048,66.53502304,63.44262673,67.52214286,91.4825431,92.12857143,171.7140553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.215,58.8,100,0,0,9
203,11095500,99999,42.6,45.8,42.4,39.5,23.7,41.3,31.8,39.1,39,21.5,39.5,15,7790,8750,8970,2010,2180,172,514,92,1010,2330,1890,7000,222.9951613,265.720202,153.9112903,98.41,77.99354839,67.88619048,66.53502304,63.44262673,67.52214286,91.4825431,92.12857143,171.7140553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.215,58.8,100,0,0,14
204,11096500,99999,42.6,45.8,42.4,39.5,23.7,41.3,31.8,39.1,39,21.5,39.5,15,7790,8750,8970,2010,2180,172,514,92,1010,2330,1890,7000,222.9951613,265.720202,153.9112903,98.41,77.99354839,67.88619048,66.53502304,63.44262673,67.52214286,91.4825431,92.12857143,171.7140553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.215,58.8,100,0,0,12
205,11097000,99999,0,0,0,0,0,0,0,0,0,0,0,0,8230,4760,1420,1300,1060,229,133,81.2,37,75.1,67,915,92.60951613,125.9151622,67.52525538,41.73602778,39.68122312,15.29681944,4.588561828,4.971666667,2.710138889,1.481774194,3.136188406,10.47863955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,18
206,11097500,99999,0,0,0,0,0,0,0,0,0,0,0,0,8230,4760,1420,1300,1060,229,133,81.2,37,75.1,67,915,92.60951613,125.9151622,67.52525538,41.73602778,39.68122312,15.29681944,4.588561828,4.971666667,2.710138889,1.481774194,3.136188406,10.47863955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,34
