"","Number","USGS_ID","COM_ID","Min_Dis_Jan","Min_Dis_Feb","Min_Dis_Mar","Min_Dis_Apr","Min_Dis_May","Min_Dis_Jun","Min_Dis_Jul","Min_Dis_Aug","Min_Dis_Sep","Min_Dis_Oct","Min_Dis_Nov","Min_Dis_Dec","Max_Dis_Jan","Max_Dis_Feb","Max_Dis_Mar","Max_Dis_Apr","Max_Dis_May","Max_Dis_Jun","Max_Dis_Jul","Max_Dis_Aug","Max_Dis_Sep","Max_Dis_Oct","Max_Dis_Nov","Max_Dis_Dec","Ave_Dis_Jan","Ave_Dis_Feb","Ave_Dis_Mar","Ave_Dis_Apr","Ave_Dis_May","Ave_Dis_Jun","Ave_Dis_Jul","Ave_Dis_Aug","Ave_Dis_Sep","Ave_Dis_Oct","Ave_Dis_Nov","Ave_Dis_Dec","Min_Temp_Jan","Min_Temp_Feb","Min_Temp_Mar","Min_Temp_Apr","Min_Temp_May","Min_Temp_Jun","Min_Temp_Jul","Min_Temp_Aug","Min_Temp_Sep","Min_Temp_Oct","Min_Temp_Nov","Min_Temp_Dec","Max_Temp_Jan","Max_Temp_Feb","Max_Temp_Mar","Max_Temp_Apr","Max_Temp_May","Max_Temp_Jun","Max_Temp_Jul","Max_Temp_Aug","Max_Temp_Sep","Max_Temp_Oct","Max_Temp_Nov","Max_Temp_Dec","Ave_Temp_Jan","Ave_Temp_Feb","Ave_Temp_Mar","Ave_Temp_Apr","Ave_Temp_May","Ave_Temp_Jun","Ave_Temp_Jul","Ave_Temp_Aug","Ave_Temp_Sep","Ave_Temp_Oct","Ave_Temp_Nov","Ave_Temp_Dec","Min_Do_Jan","Min_Do_Feb","Min_Do_Mar","Min_Do_Apr","Min_Do_May","Min_Do_Jun","Min_Do_Jul","Min_Do_Aug","Min_Do_Sep","Min_Do_Oct","Min_Do_Nov","Min_Do_Dec","Max_Do_Jan","Max_Do_Feb","Max_Do_Mar","Max_Do_Apr","Max_Do_May","Max_Do_Jun","Max_Do_Jul","Max_Do_Aug","Max_Do_Sep","Max_Do_Oct","Max_Do_Nov","Max_Do_Dec","Ave_Do_Jan","Ave_Do_Feb","Ave_Do_Mar","Ave_Do_Apr","Ave_Do_May","Ave_Do_Jun","Ave_Do_Jul","Ave_Do_Aug","Ave_Do_Sep","Ave_Do_Oct","Ave_Do_Nov","Ave_Do_Dec","Base_Dis_5%","Base_Dis_25%","Dis_Avail_Data_%","Temp_Avail_Data_%","DO_Avail_Data_%","HDI"
"129",129,2470072,99999,0.26,0.21,2.2,0.27,0.02,0,0,0,0,0,0,0.23,724,1020,778,625,423,351,838,368,759,382,403,636,19.6934408602151,27.8653367003367,31.3467895545315,15.950873015873,7.63453149001536,8.45174603174603,8.64219662058372,4.87674347158218,6.86998407643312,5.26711278195489,9.82307936507937,17.777158218126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.6,100,0,0,0
"130",130,2471001,99999,55.7,63,57,49.3,24,21,20,16,21,21,22,56.2,4080,4180,5430,5290,7210,2540,3590,4790,17100,3070,4850,8960,345.88938172043,360.367109144543,348.503360215054,322.456944444444,267.951209677419,218.611666666667,234.105241935484,203.666129032258,243.046666666667,167.186827956989,197.738260869565,288.996353436185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.02,91.7,100,0,0,17
"131",131,2471078,99999,14.7,17,16.6,13.9,11.4,10.8,10.7,11,12,11.3,13,15.1,1460,402,1850,2480,636,2020,2220,419,2070,599,528,1120,39.5552995391705,37.840404040404,45.088244047619,49.2062215477997,33.5087976539589,37.7951515151515,43.516568914956,34.5131964809384,39.3068181818182,28.6876832844575,30.8314285714286,35.7625192012289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,20.4,100,0,0,0
"132",132,2479431,99999,11,16,13,1.8,0.4,0.08,0.35,0.27,0.25,0.14,1.2,6.4,1290,579,1050,266,585,296,294,260,2150,452,309,1290,81.9861751152074,60.9593908629442,77.0967741935484,46.41,24.3364516129032,23.7900952380952,26.9188479262673,15.8027188940092,31.3851428571429,17.5961827956989,22.4533333333333,49.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,4,100,0,0,9
"133",133,2479500,99999,11,16,13,1.8,0.4,0.08,0.35,0.27,0.25,0.14,1.2,6.4,1290,579,1050,266,585,296,294,260,2150,452,309,1290,81.9861751152074,60.9593908629442,77.0967741935484,46.41,24.3364516129032,23.7900952380952,26.9188479262673,15.8027188940092,31.3851428571429,17.5961827956989,22.4533333333333,49.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,4,100,0,0,21
"134",134,2479945,99999,16.5,18,16,12,8.22,7.4,7.59,6.7,7.8,7.8,8,15,700,907,1130,1550,1350,517,1170,1480,3130,556,640,1180,66.7557795698925,73.5414454277286,73.992876344086,68.5693055555556,55.4103629032258,50.7645277777778,55.9550940860215,48.5896102150538,48.9332638888889,38.6502035278155,46.0924637681159,61.3539971949509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,23.4,100,0,0,0
"135",135,2479980,99999,5.91,5.42,6.09,4.68,4.48,4.31,5,4.5,4.75,4.8,5.06,5.21,377,250,354,315,514,202,359,343,826,186,296,553,17.227311827957,16.2841887905605,17.8266935483871,17.26025,16.5585464333782,14.8424305555556,17.3551612903226,15.5052150537634,16.5163194444444,12.6090053763441,13.9746376811594,15.9454417952314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01,8.49,99.9885123492246,0,0,0
"136",136,2480002,99999,9.76,9.71,9,8.6,7.57,7.11,7.09,7.92,8.42,8.1,8.2,9.7,515,191,304,480,571,250,618,298,2000,249,431,855,22.4022715053763,20.9596460176991,23.0618279569892,22.4680416666667,20.7404301075269,20.6788333333333,22.1101209677419,20.1515725806452,22.6982222222222,17.4513306451613,19.3464057971015,22.1007012622721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.79,12.2,100,0,0,0
"137",137,3572110,99999,55,105,116,50,40,15,5,5.1,3.9,2.5,12,24,3500,11700,8680,10000,1930,877,1690,1500,1330,2920,2650,3000,591.435483870968,588.610619469027,869.024193548387,546.85,172.887096774194,73.1916666666667,72.9540322580645,106.624193548387,111.665,106.54953271028,196.166666666667,315.225806451613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.61,40,100,0,0,11
"138",138,3572900,99999,55,105,116,50,40,15,5,5.1,3.9,2.5,12,24,3500,11700,8680,10000,1930,877,1690,1500,1330,2920,2650,3000,591.435483870968,588.610619469027,869.024193548387,546.85,172.887096774194,73.1916666666667,72.9540322580645,106.624193548387,111.665,106.54953271028,196.166666666667,315.225806451613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.61,40,100,0,0,17
"139",139,3574500,99999,44,126,124,62.6,28.8,15.7,11,8.11,5.56,3.14,4.15,9.4,20600,17200,19400,15400,17700,5790,3590,3630,5980,7830,9780,21000,1254.63844086022,1143.78761061947,1252.39247311828,929.313888888889,565.42311827957,242.582083333333,177.202150537634,119.820833333333,120.308458333333,157.664892473118,379.88152173913,1095.49565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,52.1,100,0,0,13
"140",140,3574796,99999,44,126,124,62.6,28.8,15.7,11,8.11,5.56,3.14,4.15,9.4,20600,17200,19400,15400,17700,5790,3590,3630,5980,7830,9780,21000,1254.63844086022,1143.78761061947,1252.39247311828,929.313888888889,565.42311827957,242.582083333333,177.202150537634,119.820833333333,120.308458333333,157.664892473118,379.88152173913,1095.49565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,52.1,100,0,0,0
"141",141,3575000,99999,371,331,327,327,173,160,72,72,83,91,104,133,8010,25600,15500,3080,12400,3560,1090,683,420,557,3700,3390,1071.41935483871,1463.64285714286,1541.06451612903,806.116666666667,650.209677419355,387.3,209.483870967742,183.887096774194,134.716666666667,170.048387096774,404.016666666667,652.403225806452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,170,100,0,0,13
"142",142,3575100,99999,129,189,169,164,82.6,54,64.4,54.4,69.1,62.6,72.8,114,12800,24000,12300,35100,22400,7880,5650,3090,3840,4290,8090,28300,1109.22222222222,1028.06679764244,992.186379928315,906.798148148148,645.204659498208,334.936296296296,304.383691756272,219.085125448029,202.437777777778,220.610186757216,359.352037037037,1110.85483870968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,139,100,0,0,0
"143",143,3575830,99999,6.5,15,17,15,8.6,5.5,3.7,1.4,1.1,1.1,2.3,3.3,2010,3080,1990,4370,1710,1340,2530,192,570,863,1390,3460,172.472183098592,206.614232209738,201.458596491228,143.890545454545,74.3555944055944,57.3948638132296,40.7092,14.8278225806452,14.3502074688797,22.001146953405,37.9972426470588,127.369896193772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,9.8,100,0,0,16
"144",144,3576250,99999,25.8,69.6,46.5,34.8,17.5,10.7,10.5,7.59,8.1,6.97,9.97,15,9530,10600,4840,8850,6300,2800,7440,1530,1670,2970,4350,9040,403.537829912023,342.287620578778,354.046627565982,279.854545454545,182.742082111437,118.983181818182,94.9507331378299,55.7644868035191,66.5921363636364,84.9963534361851,130.311303030303,349.417302052786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,35,100,0,0,24
"145",145,3576500,99999,23,41.7,46,16.6,2.86,0.38,0.5,0.06,0,0,0.01,5.9,3840,6260,4000,1480,2620,3000,700,856,1140,2290,1490,13700,393.162365591398,331.053687315634,299.081989247312,194.079444444444,109.94185483871,88.8047777777778,32.4153225806452,25.6025806451613,19.2716944444444,61.173083573487,85.0095151515151,302.257771260997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788,12,100,0,0,14
"146",146,3586500,99999,5,50,30.7,25.9,5.4,2.18,0.69,1.03,0.78,0.61,0.5,2.19,9500,8940,6510,10100,5670,5310,6240,2470,2230,3300,4390,7300,550.573440860215,501.92197640118,501.300672043011,391.218055555556,233.658857526882,138.107972222222,104.674435483871,55.5850806451613,65.0442916666667,95.4072983870968,146.239347826087,462.843955119215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,19.2,100,0,0,23
"147",147,3589250,99999,5,50,30.7,25.9,5.4,2.18,0.69,1.03,0.78,0.61,0.5,2.19,9500,8940,6510,10100,5670,5310,6240,2470,2230,3300,4390,7300,550.573440860215,501.92197640118,501.300672043011,391.218055555556,233.658857526882,138.107972222222,104.674435483871,55.5850806451613,65.0442916666667,95.4072983870968,146.239347826087,462.843955119215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,19.2,100,0,0,24
"148",148,3591800,99999,5,50,30.7,25.9,5.4,2.18,0.69,1.03,0.78,0.61,0.5,2.19,9500,8940,6510,10100,5670,5310,6240,2470,2230,3300,4390,7300,550.573440860215,501.92197640118,501.300672043011,391.218055555556,233.658857526882,138.107972222222,104.674435483871,55.5850806451613,65.0442916666667,95.4072983870968,146.239347826087,462.843955119215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,19.2,100,0,0,21
"149",149,3592000,99999,5,50,30.7,25.9,5.4,2.18,0.69,1.03,0.78,0.61,0.5,2.19,9500,8940,6510,10100,5670,5310,6240,2470,2230,3300,4390,7300,550.573440860215,501.92197640118,501.300672043011,391.218055555556,233.658857526882,138.107972222222,104.674435483871,55.5850806451613,65.0442916666667,95.4072983870968,146.239347826087,462.843955119215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,19.2,100,0,0,22
"150",150,3592200,99999,5,50,30.7,25.9,5.4,2.18,0.69,1.03,0.78,0.61,0.5,2.19,9500,8940,6510,10100,5670,5310,6240,2470,2230,3300,4390,7300,550.573440860215,501.92197640118,501.300672043011,391.218055555556,233.658857526882,138.107972222222,104.674435483871,55.5850806451613,65.0442916666667,95.4072983870968,146.239347826087,462.843955119215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,19.2,100,0,0,28
"151",151,3592300,99999,5,50,30.7,25.9,5.4,2.18,0.69,1.03,0.78,0.61,0.5,2.19,9500,8940,6510,10100,5670,5310,6240,2470,2230,3300,4390,7300,550.573440860215,501.92197640118,501.300672043011,391.218055555556,233.658857526882,138.107972222222,104.674435483871,55.5850806451613,65.0442916666667,95.4072983870968,146.239347826087,462.843955119215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,19.2,100,0,0,20
"152",152,3592500,99999,329,237,382,671,184,105,107,119,66,67.1,140,742,5560,5120,4900,3940,3490,3250,3890,659,464,8280,3980,10700,2459.48387096774,1587.54385964912,1947.96774193548,1955.08333333333,719.564516129032,437.907692307692,476.666666666667,244.52688172043,138.015555555556,525.640860215054,1352.16666666667,2456.95161290323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,174,100,0,0,25
