"","Number","USGS_ID","COM_ID","Min_Dis_Jan","Min_Dis_Feb","Min_Dis_Mar","Min_Dis_Apr","Min_Dis_May","Min_Dis_Jun","Min_Dis_Jul","Min_Dis_Aug","Min_Dis_Sep","Min_Dis_Oct","Min_Dis_Nov","Min_Dis_Dec","Max_Dis_Jan","Max_Dis_Feb","Max_Dis_Mar","Max_Dis_Apr","Max_Dis_May","Max_Dis_Jun","Max_Dis_Jul","Max_Dis_Aug","Max_Dis_Sep","Max_Dis_Oct","Max_Dis_Nov","Max_Dis_Dec","Ave_Dis_Jan","Ave_Dis_Feb","Ave_Dis_Mar","Ave_Dis_Apr","Ave_Dis_May","Ave_Dis_Jun","Ave_Dis_Jul","Ave_Dis_Aug","Ave_Dis_Sep","Ave_Dis_Oct","Ave_Dis_Nov","Ave_Dis_Dec","Min_Temp_Jan","Min_Temp_Feb","Min_Temp_Mar","Min_Temp_Apr","Min_Temp_May","Min_Temp_Jun","Min_Temp_Jul","Min_Temp_Aug","Min_Temp_Sep","Min_Temp_Oct","Min_Temp_Nov","Min_Temp_Dec","Max_Temp_Jan","Max_Temp_Feb","Max_Temp_Mar","Max_Temp_Apr","Max_Temp_May","Max_Temp_Jun","Max_Temp_Jul","Max_Temp_Aug","Max_Temp_Sep","Max_Temp_Oct","Max_Temp_Nov","Max_Temp_Dec","Ave_Temp_Jan","Ave_Temp_Feb","Ave_Temp_Mar","Ave_Temp_Apr","Ave_Temp_May","Ave_Temp_Jun","Ave_Temp_Jul","Ave_Temp_Aug","Ave_Temp_Sep","Ave_Temp_Oct","Ave_Temp_Nov","Ave_Temp_Dec","Min_Do_Jan","Min_Do_Feb","Min_Do_Mar","Min_Do_Apr","Min_Do_May","Min_Do_Jun","Min_Do_Jul","Min_Do_Aug","Min_Do_Sep","Min_Do_Oct","Min_Do_Nov","Min_Do_Dec","Max_Do_Jan","Max_Do_Feb","Max_Do_Mar","Max_Do_Apr","Max_Do_May","Max_Do_Jun","Max_Do_Jul","Max_Do_Aug","Max_Do_Sep","Max_Do_Oct","Max_Do_Nov","Max_Do_Dec","Ave_Do_Jan","Ave_Do_Feb","Ave_Do_Mar","Ave_Do_Apr","Ave_Do_May","Ave_Do_Jun","Ave_Do_Jul","Ave_Do_Aug","Ave_Do_Sep","Ave_Do_Oct","Ave_Do_Nov","Ave_Do_Dec","Base_Dis_5%","Base_Dis_25%","Dis_Avail_Data_%","Temp_Avail_Data_%","DO_Avail_Data_%","HDI"
"119",119,2464660,99999,6.63,6.05,8.6,3.89,2.25,1.28,1.24,1.08,1.21,1.42,1.56,4.35,707,1070,671,1220,154,162,120,105,438,182,253,771,46.64625,46.0623451327434,52.3279838709677,45.94375,15.9384677419355,9.00833333333333,8.65290322580645,8.36875,16.128375,11.4664516129032,15.8308474576271,42.2314516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,3.6,100,0,0,0
"120",120,2465000,99999,84,200,218,154,162,128,133,50,115,44,22,51,193000,156000,132000,167000,105000,49600,40700,23000,186000,53100,91900,152000,15500.4502688172,14384.4247787611,15912.4247311828,12307.525,7146.42876344086,4674.58888888889,3713.73387096774,2736.92607526882,3831.64722222222,2857.38965053763,4592.37933042213,9989.5904628331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.05,1700,100,0,0,31
"121",121,2465292,99999,5.45,5.51,5.95,5.4,4,3.83,4.56,4.19,3.83,4.48,3.89,4.91,329,771,452,640,665,371,292,295,1210,405,677,563,23.6301382488479,30.4881313131313,27.8365207373272,27.0529523809524,19.7405760368664,20.5117142857143,17.1549886621315,16.5592688172043,16.5815555555556,12.718752688172,20.864380952381,26.6985714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74,7.61,100,0,0,0
"122",122,2465493,99999,14.4,16.2,16.7,13.8,9.98,6.72,6.6,5.33,8.36,8.02,10.8,14.4,846,604,540,787,187,579,1030,141,2000,595,497,336,56.4967741935484,62.7098820058997,65.1759408602151,51.5388888888889,27.7795430107527,26.5434583333333,27.1786424731183,19.308938172043,24.9519305555556,25.8699865591398,33.6171014492754,42.8570827489481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,17.2,100,0,0,6
"123",123,2466030,99999,414,1230,1030,820,662,556,746,558,484,377,428,406,121000,98300,120000,106000,61600,47000,47800,19200,115000,57600,63300,94500,17066.7237026648,16961.8798151002,18995.8345021038,15804.1598837209,8743.76577840112,5695.76231884058,4822.28751753156,3397.47966339411,4451.75942028986,3719.41655172414,5591.03047895501,11189.1755617978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,2290,99.7863755043912,0,0,27
"124",124,2467000,99999,2470,4960,5050,3460,1150,925,1310,860,791,738,949,1800,183000,197000,169000,221000,136000,139000,109000,58700,129000,139000,147000,183000,44028.6559139785,46428.6578171091,49217.9838709677,39075.6666666667,21720.4032258065,14153.8208333333,10811.4789687924,6743.34677419355,8587.625,9265.375,13573.7275362319,31432.1739130435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,4480,100,0,0,25
"125",125,2467500,99999,163,184,172,139,91.8,75.7,58,52,48,55,63,105,17100,13900,12400,26000,8050,6490,4710,2590,3900,4750,4300,6420,1320.26612903226,1617.21386430678,1656.05241935484,1344.74166666667,516.54247311828,416.403611111111,413.031451612903,249.683064516129,282.595555555556,297.318682795699,465.076086956522,884.861150070126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.02,169,100,0,0,13
"126",126,2468500,99999,163,184,172,139,91.8,75.7,58,52,48,55,63,105,17100,13900,12400,26000,8050,6490,4710,2590,3900,4750,4300,6420,1320.26612903226,1617.21386430678,1656.05241935484,1344.74166666667,516.54247311828,416.403611111111,413.031451612903,249.683064516129,282.595555555556,297.318682795699,465.076086956522,884.861150070126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.02,169,100,0,0,13
"127",127,2469761,99999,1050,3530,5210,3590,1440,1070,1540,398,744,637,924,1240,159000,175000,169000,170000,109000,104000,94700,57100,111000,115000,109000,150000,47788.1451612903,54786.9822485207,56642.3924731183,44607.125,24374.5564516129,16140.9583333333,13254.0994623656,8350.39811066127,10106.7125,10479.8192934783,15060.7594202899,33558.4992987377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2190,5650,100,0,0,21
"128",128,2469800,99999,35.7,31,41,27.9,7.9,5.2,3.5,2.9,3.1,3.5,4.2,16,12200,12100,8460,5250,2970,3710,4820,2550,4770,1690,2760,4910,325.322177419355,439.576696165192,497.341374663073,298.528194444444,144.421411290323,135.601166666667,129.312567204301,74.8136559139785,78.4944444444444,59.0602419354839,121.845666666667,253.066058906031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.01,28,100,0,0,6
