,parm_cd,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,parameter_group_nm,parameter_nm,casrn,srsname,parameter_units
21283,10,USGS,11446220,AMERICAN R BL FOLSOM DAM NR FOLSOM CA,ST,38.70452778,-121.164361,S,NAD83,239,5,NGVD29,18020111,uv,NA,15710,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
21314,10,USGS,11133000,SANTA YNEZ R A NARROWS NR LOMPOC CA,ST,34.63609474,-120.424606,F,NAD83,NA,NA,NA,18060010,dv,2,8562,NA,wat,NA,1645597,0,10/1/1998,7/8/2017,3944,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
21351,10,USGS,11173575,ALAMEDA C BL WELCH C NR SUNOL CA,ST,37.5404908,-121.856345,S,NAD83,300,20,NGVD29,18050004,dv,2,8936,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3497,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
21426,10,USGS,11173510,ALAMEDA C BL CALAVERAS C NR SUNOL CA,ST,37.5035472,-121.8246774,S,NAD83,430,20,NGVD29,18050004,dv,2,8930,NA,wat,NA,1645597,0,10/4/2008,7/8/2017,3093,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
21609,10,USGS,11336680,S MOKELUMNE R A NEW HOPE BR NR WALNUT GROVE CA,ST,38.22555556,-121.491111,S,NAD83,0,0.1,NAVD88,18040003,uv,NA,15488,NA,wat,NA,1645597,0,7/9/2014,7/8/2017,1095,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
21643,10,USGS,11446220,AMERICAN R BL FOLSOM DAM NR FOLSOM CA,ST,38.70452778,-121.164361,S,NAD83,239,5,NGVD29,18020111,dv,2,10971,NA,wat,NA,1645597,0,10/24/1998,7/8/2017,6659,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
21644,10,USGS,11446220,AMERICAN R BL FOLSOM DAM NR FOLSOM CA,ST,38.70452778,-121.164361,S,NAD83,239,5,NGVD29,18020111,dv,1,10970,NA,wat,NA,1645597,0,10/24/1998,7/8/2017,6656,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
21665,10,USGS,11390000,BUTTE C NR CHICO CA,ST,39.72599524,-121.7088643,F,NAD83,NA,NA,NA,18020105,dv,1,10382,NA,wat,NA,1645597,0,11/1/1961,7/8/2017,12745,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
21796,10,USGS,10336660,BLACKWOOD C NR TAHOE CITY CA,ST,39.10740708,-120.1621352,F,NAD83,6234.59,17,NGVD29,16050101,dv,2,7525,NA,wat,NA,1645597,0,12/7/1980,7/8/2017,1964,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
22028,10,USGS,11074000,SANTA ANA R BL PRADO DAM CA,ST,33.88334875,-117.6453296,F,NAD83,449,10,NGVD29,18070203,uv,NA,14310,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
22033,10,USGS,11173510,ALAMEDA C BL CALAVERAS C NR SUNOL CA,ST,37.5035472,-121.8246774,S,NAD83,430,20,NGVD29,18050004,dv,1,8929,NA,wat,NA,1645597,0,10/4/2008,7/8/2017,3092,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
22035,10,USGS,11261500,SAN JOAQUIN R A FREMONT FORD BRIDGE CA,ST,37.3099386,-120.9310369,S,NAD83,72.37,0.1,NAVD88,18040001,dv,1,9497,NA,wat,NA,1645597,0,9/20/1985,7/8/2017,7080,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
22242,10,USGS,11173200,ARROYO HONDO NR SAN JOSE CA,ST,37.46160337,-121.769397,F,NAD83,783.86,0.01,NGVD29,18050004,uv,NA,14798,NA,wat,NA,1645597,0,9/6/2008,7/8/2017,3227,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
22457,10,USGS,10336660,BLACKWOOD C NR TAHOE CITY CA,ST,39.10740708,-120.1621352,F,NAD83,6234.59,17,NGVD29,16050101,uv,NA,13835,NA,wat,NA,1645597,0,1/20/2015,7/8/2017,900,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
22908,10,USGS,11303500,SAN JOAQUIN R NR VERNALIS CA,ST,37.6760406,-121.2663293,S,NAD83,25,2.5,NGVD29,18040002,uv,NA,15168,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
23216,10,USGS,11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA,ST,37.24771864,-120.8521446,S,NAD83,75.11,0.01,NGVD29,18040001,dv,1,9488,NA,wat,NA,1645597,0,9/10/1985,7/8/2017,11030,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
23292,10,USGS,11176500,ARROYO VALLE NR LIVERMORE CA,ST,37.62326509,-121.7588418,F,NAD83,510.44,0.01,NGVD29,18050004,dv,2,8988,NA,wat,NA,1645597,0,10/2/1963,7/8/2017,6524,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
23398,10,USGS,11446500,AMERICAN R A FAIR OAKS CA,ST,38.6354601,-121.2277262,F,NAD83,71.53,0.01,NGVD29,18020111,dv,2,10974,NA,wat,NA,1645597,0,10/31/1961,7/8/2017,12623,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
23580,10,USGS,11446500,AMERICAN R A FAIR OAKS CA,ST,38.6354601,-121.2277262,F,NAD83,71.53,0.01,NGVD29,18020111,dv,1,10973,NA,wat,NA,1645597,0,10/31/1961,7/8/2017,12621,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
