"","parm_cd","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu","parameter_group_nm","parameter_nm","casrn","srsname","parameter_units"
"10803","00010","USGS","11176500","ARROYO VALLE NR LIVERMORE CA","ST",37.62326509,-121.7588418,"F","NAD83"," 510.44",".01","NGVD29","18050004","uv",NA,14835,NA,"wat",NA,1645597,0,2011-10-14,2017-07-08,2094,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"10894","00010","USGS","11206820","MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA","ST",36.61166667,-118.7016667,"U","NAD83"," 7160"," 20","NGVD29","18030007","dv","00002",9228,NA,"wat",NA,1645597,0,2013-10-01,2017-07-08,1214,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"10940","00010","USGS","11446500","AMERICAN R A FAIR OAKS CA","ST",38.6354601,-121.2277262,"F","NAD83"," 71.53",".01","NGVD29","18020111","uv",NA,15713,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"10945","00010","USGS","11206820","MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA","ST",36.61166667,-118.7016667,"U","NAD83"," 7160"," 20","NGVD29","18030007","uv",NA,14934,NA,"wat",NA,1645597,0,2013-10-01,2017-07-08,1376,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"10979","00010","USGS","11203580","SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA","ST",36.04828125,-118.6542556,"S","NAD83"," 3700"," 20","NGVD29","18030006","dv","00001",9192,NA,"wat",NA,1645597,0,2006-01-25,2017-07-08,4019,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"11340","00010","USGS","11261100","SALT SLOUGH A HWY 165 NR STEVINSON CA","ST",37.24771864,-120.8521446,"S","NAD83"," 75.11",".01","NGVD29","18040001","dv","00002",9489,NA,"wat",NA,1645597,0,1985-09-10,2017-07-08,11032,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"11390","00010","USGS","11447650","SACRAMENTO R A FREEPORT CA","ST",38.45601954,-121.5013437,"S","NAD83",NA,NA,NA,"18020109","uv",NA,15760,"BGC PROJECT, [East Fender]","wat",NA,1645597,0,2013-08-31,2017-07-08,1407,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"11792","00010","USGS","10336676","WARD C AT HWY 89 NR TAHOE PINES CA","ST",39.1321292,-120.1576913,"F","NAD83",NA,NA,NA,"16050101","dv","00002",7546,NA,"wat",NA,1645597,0,1980-10-24,2017-07-08,1608,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12038","00010","USGS","11276900","TUOLUMNE R BL EARLY INTAKE NR MATHER CA","ST",37.8815908,-119.9701824,"F","NAD83",NA,NA,NA,"18040009","dv","00002",9647,NA,"wat",NA,1645597,0,2006-06-02,2017-07-08,3986,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12041","00010","USGS","11261500","SAN JOAQUIN R A FREMONT FORD BRIDGE CA","ST",37.3099386,-120.9310369,"S","NAD83"," 72.37",".10","NAVD88","18040001","uv",NA,14979,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12099","00010","USGS","11278000","ELEANOR C NR HETCH HETCHY CA","ST",37.969088,-119.882124,"F","NAD83"," 4500.00"," 17","NGVD29","18040009","uv",NA,15084,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12126","00010","USGS","11278300","CHERRY C NR EARLY INTAKE CA","ST",37.89436824,-119.962682,"F","NAD83"," 2272.00"," 17","NGVD29","18040009","uv",NA,15091,NA,"wat",NA,1645597,0,2008-05-28,2017-07-08,3328,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12205","00010","USGS","11274538","ORESTIMBA CR AT RIVER RD NR CROWS LANDING CA","ST",37.41354657,-121.0160412,"S","NAD83"," 65","2.5","NGVD29","18040002","uv",NA,15022,NA,"wat",NA,1645597,0,2007-10-03,2017-07-08,3566,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12286","00010","USGS","10260500","DEEP C NR HESPERIA CA","ST",34.34305858,-117.2264316,"F","NAD83"," 3030.00"," 20","NGVD29","18090208","dv","00002",7273,NA,"wat",NA,1645597,0,2006-12-01,2017-07-08,3497,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12512","00010","USGS","10340500","PROSSER C BL PROSSER C DAM NR TRUCKEE CA","ST",39.37324026,-120.131587,"F","NAD83"," 5572.62"," 17","NGVD29","16050102","uv",NA,163254,"New upstream site outlet","wat",NA,1645597,0,2017-03-10,2017-07-08,120,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12638","00010","USGS","11463000","RUSSIAN R NR CLOVERDALE CA","ST",38.8793475,-123.0536124,"F","NAD83",NA,NA,NA,"18010110","uv",NA,16326,NA,"wat",NA,1645597,0,2009-07-21,2017-07-08,2909,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12933","00010","USGS","11455315","CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA","ST",38.2422222,-121.686111,"S","NAD83",NA,NA,NA,"18020109","uv",NA,16123,"BGC PROJECT","wat",NA,1645597,0,2013-07-16,2017-07-08,1453,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"12952","00010","USGS","11044000","SANTA MARGARITA R NR TEMECULA CA","ST",33.4739175,-117.1422536,"F","NAD83"," 950.00"," 17","NGVD29","18070302","dv","00002",7812,NA,"wat",NA,1645597,0,1999-12-15,2017-07-08,5754,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13004","00010","USGS","11530500","KLAMATH R NR KLAMATH CA","ST",41.5109543,-123.9795164,"F","NAD83",NA,NA,NA,"18010209","dv","00002",11995,NA,"wat",NA,1645597,0,2003-09-30,2017-07-08,5008,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13005","00010","USGS","11530500","KLAMATH R NR KLAMATH CA","ST",41.5109543,-123.9795164,"F","NAD83",NA,NA,NA,"18010209","dv","00001",11994,NA,"wat",NA,1645597,0,2003-09-30,2017-07-08,5008,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13114","00010","USGS","11303500","SAN JOAQUIN R NR VERNALIS CA","ST",37.6760406,-121.2663293,"S","NAD83"," 25","2.5","NGVD29","18040002","dv","00001",9837,NA,"wat",NA,1645597,0,1961-10-28,2017-07-08,15922,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13123","00010","USGS","11176900","ARROYO DE LA LAGUNA A VERONA CA","ST",37.62659915,-121.8830126,"S","NAD83"," 280"," 20","NGVD29","18050004","dv","00001",9000,NA,"wat",NA,1645597,0,2003-11-27,2017-07-08,4792,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13222","00010","USGS","11278400","CHERRY C BL DION R HOLM PH NR MATHER CA","ST",37.8902017,-119.9699046,"F","NAD83",NA,NA,NA,"18040009","dv","00001",9669,NA,"wat",NA,1645597,0,2006-05-25,2017-07-08,3975,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13305","00010","USGS","11174000","SAN ANTONIO C NR SUNOL CA","ST",37.577434,-121.857734,"S","NAD83"," 271.56",".01","NGVD29","18050004","dv","00001",8941,NA,"wat",NA,1645597,0,2008-10-01,2017-07-08,2378,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13325","00010","USGS","11174000","SAN ANTONIO C NR SUNOL CA","ST",37.577434,-121.857734,"S","NAD83"," 271.56",".01","NGVD29","18050004","uv",NA,14826,NA,"wat",NA,1645597,0,2008-10-01,2017-07-08,3202,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13449","00010","USGS","11274550","SAN JOAQUIN R NR CROWS LANDING CA","ST",37.43187949,-121.0138193,"S","NAD83"," 45","2.5","NGVD29","18040002","uv",NA,15029,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
