"","parm_cd","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu","parameter_group_nm","parameter_nm","casrn","srsname","parameter_units"
"16938","00010","USGS","11126000","SANTA YNEZ R NR SANTA YNEZ CA","ST",34.5891552,-119.9887532,"F","NAD83"," 545.66",".05","NGVD29","18060010","uv",NA,14490,NA,"wat",NA,1645597,0,2008-10-01,2017-07-08,3202,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16944","00010","USGS","11302000","STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA","ST",37.85159385,-120.6379816,"F","NAD83",NA,NA,NA,"18040010","uv",NA,15156,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16956","00010","USGS","11074000","SANTA ANA R BL PRADO DAM CA","ST",33.88334875,-117.6453296,"F","NAD83"," 449"," 10","NGVD29","18070203","dv","00001",8180,NA,"wat",NA,1645597,0,1968-02-02,2017-07-08,16206,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16983","00010","USGS","11254000","SAN JOAQUIN R NR MENDOTA CA","ST",36.8105046,-120.3782256,"S","NAD83"," 140.53",".01","NGVD29","18040001","uv",NA,14963,NA,"wat",NA,1645597,0,2013-01-25,2017-07-08,1625,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"17087","00010","USGS","11425500","SACRAMENTO R A VERONA CA","ST",38.77434584,-121.5982928,"F","NAD83"," -3.00"," 17","NGVD29","18020109","uv",NA,15689,NA,"wat",NA,1645597,0,2008-02-14,2017-07-08,3432,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"17275","00010","USGS","11530000","TRINITY R A HOOPA CA","ST",41.049852,-123.673668,"F","NAD83"," 274.82",".01","NGVD29","18010211","uv",NA,16637,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"17285","00010","USGS","11176500","ARROYO VALLE NR LIVERMORE CA","ST",37.62326509,-121.7588418,"F","NAD83"," 510.44",".01","NGVD29","18050004","dv","00001",8987,NA,"wat",NA,1645597,0,1963-10-02,2017-07-08,6525,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"17452","00010","USGS","11206820","MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA","ST",36.61166667,-118.7016667,"U","NAD83"," 7160"," 20","NGVD29","18030007","dv","00001",9227,NA,"wat",NA,1645597,0,2013-10-01,2017-07-08,1214,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"17491","00010","USGS","11303500","SAN JOAQUIN R NR VERNALIS CA","ST",37.6760406,-121.2663293,"S","NAD83"," 25","2.5","NGVD29","18040002","dv","00002",9838,NA,"wat",NA,1645597,0,1961-10-28,2017-07-08,15915,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"17633","00010","USGS","11304810","SAN JOAQUIN R BL GARWOOD BRIDGE A STOCKTON CA","ST",37.93547987,-121.3302245,"S","NAD83"," 0","0.1","NAVD88","18040003","uv",NA,15184,NA,"wat",NA,1645597,0,2009-12-01,2017-07-08,2776,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"17715","00010","USGS","11264500","MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA","ST",37.73131496,-119.5590514,"S","NAD83"," 4030"," 20","NGVD29","18040008","dv","00001",9529,"LEFT BANK WATER TEMP","wat",NA,1645597,0,1965-10-01,2017-07-08,10615,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18033","00010","USGS","11447905","SACRAMENTO R BL GEORGIANA SLOUGH CA","ST",38.23880385,-121.5227309,"S","NAD83"," 0","0.1","NAVD88","18020108","uv",NA,15856,NA,"wat",NA,1645597,0,2014-07-09,2017-07-08,1095,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18328","00010","USGS","11447903","GEORGIANA SLOUGH NR SACRAMENTO R","ST",38.2372222,-121.5175,"5","NAD83"," 0","0.1","NAVD88","18020109","uv",NA,15842,NA,"wat",NA,1645597,0,2009-12-03,2017-07-08,2774,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18488","00010","USGS","11289650","TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA","ST",37.666321,-120.4421394,"F","NAD83",NA,NA,NA,"18040002","uv",NA,15126,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18489","00010","USGS","11462500","RUSSIAN R NR HOPLAND CA","ST",39.02656314,-123.1305588,"F","NAD83"," 497.61",".01","NGVD29","18010110","uv",NA,16314,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18521","00010","USGS","11276500","TUOLUMNE R NR HETCH HETCHY CA","ST",37.93742147,-119.7982326,"F","NAD83"," 3430.00"," 17","NGVD29","18040009","dv","00002",9638,NA,"wat",NA,1645597,0,1971-10-01,2017-07-08,10714,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18625","00010","USGS","11173500","CALAVERAS C NR SUNOL CA","ST",37.50194444,-121.8183333,"S","NAD83"," 475"," 20","NGVD29","18050004","uv",NA,14806,NA,"wat",NA,1645597,0,2008-10-01,2017-07-08,3202,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18667","00010","USGS","11278300","CHERRY C NR EARLY INTAKE CA","ST",37.89436824,-119.962682,"F","NAD83"," 2272.00"," 17","NGVD29","18040009","dv","00002",9666,NA,"wat",NA,1645597,0,2008-05-28,2017-07-08,3318,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18669","00010","USGS","11278300","CHERRY C NR EARLY INTAKE CA","ST",37.89436824,-119.962682,"F","NAD83"," 2272.00"," 17","NGVD29","18040009","dv","00001",9665,NA,"wat",NA,1645597,0,2008-05-28,2017-07-08,3318,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"18755","00010","USGS","11390000","BUTTE C NR CHICO CA","ST",39.72599524,-121.7088643,"F","NAD83",NA,NA,NA,"18020105","dv","00002",10383,NA,"wat",NA,1645597,0,1961-11-01,2017-07-08,12740,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"19153","00010","USGS","11381500","MILL C NR LOS MOLINOS CA","ST",40.0546022,-122.0241541,"F","NAD83"," 385.00"," 17","NGVD29","18020103","dv","00001",10285,NA,"wat",NA,1645597,0,1998-10-05,2017-07-08,6820,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"19155","00010","USGS","11303000","STANISLAUS R A RIPON CA","ST",37.72965078,-121.1104934,"S","NAD83"," 0.72",".01","NGVD29","18040002","dv","00001",9830,NA,"wat",NA,1645597,0,1985-07-01,2017-07-08,9393,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"19383","00010","USGS","11254000","SAN JOAQUIN R NR MENDOTA CA","ST",36.8105046,-120.3782256,"S","NAD83"," 140.53",".01","NGVD29","18040001","dv","00002",9445,NA,"wat",NA,1645597,0,2013-01-25,2017-07-08,1624,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"19597","00010","USGS","11172945","ALAMEDA C AB DIV DAM NR SUNOL CA","ST",37.4974356,-121.7735644,"S","NAD83"," 930"," 20","NGVD29","18050004","dv","00001",8913,NA,"wat",NA,1645597,0,2008-10-01,2017-07-08,2654,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"19613","00010","USGS","11276500","TUOLUMNE R NR HETCH HETCHY CA","ST",37.93742147,-119.7982326,"F","NAD83"," 3430.00"," 17","NGVD29","18040009","dv","00001",9637,NA,"wat",NA,1645597,0,1971-10-01,2017-07-08,10718,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"19691","00010","USGS","11276600","TUOLUMNE R AB EARLY INTAKE NR MATHER CA","ST",37.87936848,-119.947126,"F","NAD83",NA,NA,NA,"18040009","uv",NA,15058,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"19887","00010","USGS","10336780","TROUT CK NR TAHOE VALLEY, CA","ST",38.9199077,-119.9724036,"S","NAD83"," 6241.57","  5","NGVD29","16050101","uv",NA,104069,NA,"wat",NA,1645597,0,2014-10-03,2017-07-08,1009,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"20129","00010","USGS","11126000","SANTA YNEZ R NR SANTA YNEZ CA","ST",34.5891552,-119.9887532,"F","NAD83"," 545.66",".05","NGVD29","18060010","dv","00002",8511,NA,"wat",NA,1645597,0,1994-07-27,2017-07-08,6169,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"20402","00010","USGS","10260500","DEEP C NR HESPERIA CA","ST",34.34305858,-117.2264316,"F","NAD83"," 3030.00"," 20","NGVD29","18090208","uv",NA,13746,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"20440","00010","USGS","11446980","AMERICAN R BL WATT AVE BRDG NR CARMICHAEL CA","ST",38.5671281,-121.3882857,"S","NAD83"," 25","2.5","NGVD29","18020111","dv","00001",10981,NA,"wat",NA,1645597,0,1998-11-13,2017-07-08,6804,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"20637","00010","USGS","11176900","ARROYO DE LA LAGUNA A VERONA CA","ST",37.62659915,-121.8830126,"S","NAD83"," 280"," 20","NGVD29","18050004","uv",NA,14840,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"20734","00010","USGS","11172955","ALAMEDA C BL DIV DAM NR SUNOL CA","ST",37.4986111,-121.7794444,"S","NAD83"," 840"," 20","NGVD29","18050004","uv",NA,14793,NA,"wat",NA,1645597,0,2015-11-24,2017-07-08,592,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"20850","00010","USGS","11125605","HILTON CYN C 0.25 MI BL BRADBURY DAM NR SANTA YNEZ","ST",34.58388889,-119.985,"U","NAD83"," 653","4.3","NAVD88","18060010","uv",NA,166305,NA,"wat",NA,1645597,0,2016-12-06,2017-07-08,214,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"20851","00010","USGS","11173510","ALAMEDA C BL CALAVERAS C NR SUNOL CA","ST",37.5035472,-121.8246774,"S","NAD83"," 430"," 20","NGVD29","18050004","uv",NA,14811,NA,"wat",NA,1645597,0,2008-10-04,2017-07-08,3199,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"20895","00010","USGS","11336790","LITTLE POTATO SLOUGH A TERMINOUS CA","ST",38.09638889,-121.496111,"5","NAD83",NA,NA,NA,"18040003","uv",NA,15515,NA,"wat",NA,1645597,0,2009-12-01,2017-07-08,2776,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21071","00010","USGS","11465240","DRY C BLW LAMBERT BR NR GEYSERVILLE CA","ST",38.65324355,-122.9272191,"S","NAD83"," 145"," 40","NGVD29","18010110","uv",NA,16375,NA,"wat",NA,1645597,0,2012-05-22,2017-07-08,1873,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21094","00010","USGS","11530500","KLAMATH R NR KLAMATH CA","ST",41.5109543,-123.9795164,"F","NAD83",NA,NA,NA,"18010209","uv",NA,16645,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21220","00010","USGS","11162620","PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA","ST",37.52466087,-122.3994177,"S","NAD83"," 500"," 12","NGVD29","18050006","dv","00002",8810,NA,"wat",NA,1645597,0,2008-09-30,2017-07-08,3203,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21283","00010","USGS","11446220","AMERICAN R BL FOLSOM DAM NR FOLSOM CA","ST",38.70452778,-121.164361,"S","NAD83"," 239","  5","NGVD29","18020111","uv",NA,15710,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21314","00010","USGS","11133000","SANTA YNEZ R A NARROWS NR LOMPOC CA","ST",34.63609474,-120.424606,"F","NAD83",NA,NA,NA,"18060010","dv","00002",8562,NA,"wat",NA,1645597,0,1998-10-01,2017-07-08,3944,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21351","00010","USGS","11173575","ALAMEDA C BL WELCH C NR SUNOL CA","ST",37.5404908,-121.856345,"S","NAD83"," 300"," 20","NGVD29","18050004","dv","00002",8936,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3497,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21426","00010","USGS","11173510","ALAMEDA C BL CALAVERAS C NR SUNOL CA","ST",37.5035472,-121.8246774,"S","NAD83"," 430"," 20","NGVD29","18050004","dv","00002",8930,NA,"wat",NA,1645597,0,2008-10-04,2017-07-08,3093,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21609","00010","USGS","11336680","S MOKELUMNE R A NEW HOPE BR NR WALNUT GROVE CA","ST",38.22555556,-121.491111,"S","NAD83"," 0","0.1","NAVD88","18040003","uv",NA,15488,NA,"wat",NA,1645597,0,2014-07-09,2017-07-08,1095,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21643","00010","USGS","11446220","AMERICAN R BL FOLSOM DAM NR FOLSOM CA","ST",38.70452778,-121.164361,"S","NAD83"," 239","  5","NGVD29","18020111","dv","00002",10971,NA,"wat",NA,1645597,0,1998-10-24,2017-07-08,6659,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21644","00010","USGS","11446220","AMERICAN R BL FOLSOM DAM NR FOLSOM CA","ST",38.70452778,-121.164361,"S","NAD83"," 239","  5","NGVD29","18020111","dv","00001",10970,NA,"wat",NA,1645597,0,1998-10-24,2017-07-08,6656,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21665","00010","USGS","11390000","BUTTE C NR CHICO CA","ST",39.72599524,-121.7088643,"F","NAD83",NA,NA,NA,"18020105","dv","00001",10382,NA,"wat",NA,1645597,0,1961-11-01,2017-07-08,12745,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"21796","00010","USGS","10336660","BLACKWOOD C NR TAHOE CITY CA","ST",39.10740708,-120.1621352,"F","NAD83"," 6234.59"," 17","NGVD29","16050101","dv","00002",7525,NA,"wat",NA,1645597,0,1980-12-07,2017-07-08,1964,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"22028","00010","USGS","11074000","SANTA ANA R BL PRADO DAM CA","ST",33.88334875,-117.6453296,"F","NAD83"," 449"," 10","NGVD29","18070203","uv",NA,14310,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"22033","00010","USGS","11173510","ALAMEDA C BL CALAVERAS C NR SUNOL CA","ST",37.5035472,-121.8246774,"S","NAD83"," 430"," 20","NGVD29","18050004","dv","00001",8929,NA,"wat",NA,1645597,0,2008-10-04,2017-07-08,3092,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"22035","00010","USGS","11261500","SAN JOAQUIN R A FREMONT FORD BRIDGE CA","ST",37.3099386,-120.9310369,"S","NAD83"," 72.37",".10","NAVD88","18040001","dv","00001",9497,NA,"wat",NA,1645597,0,1985-09-20,2017-07-08,7080,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"22242","00010","USGS","11173200","ARROYO HONDO NR SAN JOSE CA","ST",37.46160337,-121.769397,"F","NAD83"," 783.86",".01","NGVD29","18050004","uv",NA,14798,NA,"wat",NA,1645597,0,2008-09-06,2017-07-08,3227,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"22457","00010","USGS","10336660","BLACKWOOD C NR TAHOE CITY CA","ST",39.10740708,-120.1621352,"F","NAD83"," 6234.59"," 17","NGVD29","16050101","uv",NA,13835,NA,"wat",NA,1645597,0,2015-01-20,2017-07-08,900,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"22908","00010","USGS","11303500","SAN JOAQUIN R NR VERNALIS CA","ST",37.6760406,-121.2663293,"S","NAD83"," 25","2.5","NGVD29","18040002","uv",NA,15168,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"23216","00010","USGS","11261100","SALT SLOUGH A HWY 165 NR STEVINSON CA","ST",37.24771864,-120.8521446,"S","NAD83"," 75.11",".01","NGVD29","18040001","dv","00001",9488,NA,"wat",NA,1645597,0,1985-09-10,2017-07-08,11030,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"23292","00010","USGS","11176500","ARROYO VALLE NR LIVERMORE CA","ST",37.62326509,-121.7588418,"F","NAD83"," 510.44",".01","NGVD29","18050004","dv","00002",8988,NA,"wat",NA,1645597,0,1963-10-02,2017-07-08,6524,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"23398","00010","USGS","11446500","AMERICAN R A FAIR OAKS CA","ST",38.6354601,-121.2277262,"F","NAD83"," 71.53",".01","NGVD29","18020111","dv","00002",10974,NA,"wat",NA,1645597,0,1961-10-31,2017-07-08,12623,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"23580","00010","USGS","11446500","AMERICAN R A FAIR OAKS CA","ST",38.6354601,-121.2277262,"F","NAD83"," 71.53",".01","NGVD29","18020111","dv","00001",10973,NA,"wat",NA,1645597,0,1961-10-31,2017-07-08,12621,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"23601","00010","USGS","11390000","BUTTE C NR CHICO CA","ST",39.72599524,-121.7088643,"F","NAD83",NA,NA,NA,"18020105","uv",NA,15652,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
