"","COMID","GageID"
"187",8933706,"10344505"
"188",8933684,"10344500"
"189",8933494,"10344400"
"190",8934074,"10337500"
"191",8027910,"11402000"
"192",8029582,"11401920"
"193",7952754,"11355500"
"194",8020924,"11383500"
"195",2495212,"11374000"
"196",2496048,"11376550"
"197",12068830,"11377100"
"198",2495224,"11370500"
"199",2495296,"11372000"
"200",12068798,"11379500"
"201",8246426,"11525500"
"202",8244482,"11526250"
"203",8245896,"11525854"
"204",8245886,"11525655"
"205",8244344,"11526400"
"206",8244332,"11526500"
"207",8320019,"11480390"
"208",8245172,"11527000"
"209",8232392,"11528700"
"210",2706571,"11475000"
"211",8287256,"11475800"
"212",2705477,"11478500"
"213",8285120,"11476500"
"214",2546355,"11468900"
"215",2704735,"11477000"
"216",2544433,"11469000"
"217",22226812,"11532500"
"218",8316811,"11481000"
"219",8315847,"11481200"
"220",8315607,"11482500"
"221",4438356,"11530500"
"222",8241662,"11530000"
"223",4442602,"11523000"
"224",4440524,"11521500"
"225",8261865,"11522500"
"226",4440518,"11520500"
"227",3798909,"11519500"
"228",361671,"11516530"
"229",3917252,"11517000"
"230",3917058,"11517500"
"231",8242324,"11523200"
"232",7966063,"11342000"
"233",7952678,"11355010"
"234",7932045,"11348500"
"235",7932193,"11345500"
