"","GageID","COMID","lon","lat"
"16","02363000",2210130,-85.7846603393555,31.5935192108154
"17","02371500",2377281,-86.2497406005859,31.5738201141357
"22","02374500",933140017,-86.9858169555664,31.415864944458
"26","02469800",21640642,-88.019287109375,31.7470531463623
"35","02464360",18227431,-87.6391906738281,33.4236526489258
"36","02464000",18229143,-87.5937194824219,33.4730987548828
"52","02408540",22274612,-86.27197265625,32.9164924621582
"80","02450250",18578829,-87.3846206665039,34.2812080383301
"82","02438000",18670534,-87.9916839599609,34.1068840026855
