Date,18578829,18578755,18578703,18578683,18578621,18578705,18578689,18578681,18578675,18578635,18578617,18578619,18578615,18578555,18578515,18578623,18578537,18578591,18578609,18578613,18580123,18578643,18578657,18578659
1/1/1993,325.586508,309.2976182,147.7918781,140.567086,102.1623865,160.1078679,156.2232547,150.2639047,140.7730882,138.2422038,132.7095727,125.7790695,119.3782862,56.93018482,50.55883046,34.78494622,24.32297635,61.13851588,49.14624381,40.28814837,37.94855173,34.81437511,23.66082636,12.77213761
1/2/1993,306.5313027,291.2282807,138.6836371,131.9002783,95.68803099,151.2350581,147.4387314,141.8472426,133.0038616,130.6495505,125.3817795,118.8191374,112.7420719,53.81072264,47.80722939,32.69549514,22.89567526,57.66590704,46.37992829,38.02212396,35.81495732,32.84263958,22.33652638,12.05112985
1/3/1993,288.1676763,273.7328065,129.9138283,123.5719029,89.56682218,142.4946782,139.0662127,133.7984416,125.4553517,123.2334706,118.2599885,112.050493,106.2971453,50.75011824,45.0850572,30.73847405,21.49780306,54.31101375,43.65775611,35.75609954,33.71079179,30.91504738,21.02694084,11.37426541
1/4/1993,280.2807342,267.1701643,127.4565161,121.3353073,88.49266775,139.4782171,135.9614649,130.8702672,122.5713206,120.496584,116.8915452,111.6826319,107.047582,51.57412711,45.73249275,30.76790294,21.67437639,54.85544818,44.08447499,35.66781287,33.59307623,30.72375961,20.77679529,11.50669541
1/5/1993,271.9523587,257.9736367,121.0557329,114.5225196,82.69517671,134.8578816,131.5177028,126.2352173,118.7014218,116.5383985,110.9321952,104.9139875,98.30720207,46.86550495,41.42116058,27.83972853,19.51135308,49.77896492,40.00857393,32.40120625,30.60604405,28.01630186,18.77563087,10.55025653
1/6/1993,250.7341301,238.4034258,113.3306497,108.1805942,79.06070898,124.5724851,121.4824518,116.8621163,109.3871786,107.4890153,103.6632598,98.52791873,94.42258879,45.36463164,40.40586393,27.64844076,19.36420864,48.66066715,39.11099283,32.0186307,30.19403961,27.69258409,18.89334642,10.2412532
1/7/1993,254.9130323,242.6706147,116.2441096,111.1087686,81.56216451,126.2793606,123.1304695,118.5248485,110.9027664,108.9751742,105.3995642,100.4113676,96.39432432,46.37992829,41.27401614,28.34001964,19.90864308,49.60239158,39.89085838,32.59249403,30.75318849,28.19287519,19.15820642,10.3736832
1/8/1993,259.9453722,247.1290913,118.3335607,112.9039308,82.69517671,128.3982406,125.1610628,120.4377262,112.712643,110.8291941,106.9298664,101.750382,97.17418986,46.77721829,41.65659169,28.57545074,20.1146453,49.92610936,40.17043282,32.75435291,30.91504738,28.22230408,19.23177864,10.52082764
1/9/1993,260.9900978,248.2915324,118.9809962,113.6102241,83.28375448,129.0015328,125.8232128,121.0115896,113.1982197,111.255913,107.4007286,102.2212442,98.07177096,47.18922273,42.02445279,28.98745518,20.32064752,50.51468713,40.62658059,33.26935846,31.29762293,28.75202407,19.5849253,10.59439986
1/10/1993,266.1548677,253.3238723,121.7620262,116.3176818,85.37320557,131.3117005,128.0009506,123.145184,115.2140985,113.2276485,109.3871786,104.266552,99.96993427,48.18980494,42.892605,29.57603295,20.70322307,51.32398156,41.30344502,33.74022068,31.84205737,29.17874296,19.8497853,10.77097319
1/11/1993,279.809872,266.8464466,127.8390917,121.9238851,90.1701144,139.5812182,135.799606,130.7084083,122.3653184,120.4818696,118.1864163,114.0222285,110.5790486,52.23627711,46.08563941,30.9886196,21.88037861,57.82776592,46.76250384,37.58069063,35.46181066,32.40120625,21.30651528,11.88927096
1/12/1993,289.6538352,274.777532,130.2081172,124.1899095,91.05298105,143.8189782,140.0815093,134.4164483,125.6319251,123.2923284,118.112844,111.9474919,106.7680075,51.29455267,45.73249275,31.98920181,22.46895638,55.73831484,45.01148498,36.60953731,34.60837289,31.69491293,21.57137528,11.69798318
1/13/1993,315.7719737,300.2335206,145.3345659,139.4487882,103.4278287,156.2085402,152.0590669,146.2174326,135.932036,133.5335816,130.266975,124.8814884,121.953314,58.12205481,51.83898711,37.09511397,25.85327856,64.71412583,52.33927822,42.76017501,40.37643504,37.05097063,25.24998634,13.53728871
1/14/1993,362.946482,344.5534267,166.037789,158.6805668,116.7002574,179.3396466,174.7634544,167.9506667,156.2526835,153.4569391,149.2044647,142.5388215,138.050916,65.11141583,57.81305148,41.61244835,28.89916852,73.14550239,59.16678035,48.26337716,45.5853483,41.89202279,28.35473408,15.11173425
1/15/1993,388.5054717,368.1406808,175.67575,167.3032312,121.8061695,192.1412131,187.2265887,179.884081,167.6122345,164.581059,158.9895702,151.3233447,145.0991348,68.01016135,60.35865034,43.17217945,30.00275184,76.51511013,61.8448092,50.45582935,47.63065605,43.74604277,29.51717518,15.72974091
1/16/1993,390.7567816,370.0241297,175.1313155,166.435079,120.3788685,193.8186597,188.8893209,181.3849543,169.31911,166.1996479,159.9754379,151.8824936,144.7312737,67.65701469,59.96136034,42.61303056,29.51717518,75.86767458,61.30037477,50.04382491,47.18922273,43.289895,29.17874296,15.55316758
1/17/1993,380.3095262,360.1948809,169.6133989,161.1084502,116.2735385,189.3013253,184.5338454,177.2207666,165.5227834,162.5063224,156.1938258,148.218597,141.0232337,65.99428248,58.47520147,41.27401614,28.60487963,73.7782235,59.62292812,48.73423937,45.93849497,42.11273946,28.41359186,15.17059203
1/18/1993,365.4920809,346.31916,162.5063224,154.3103769,111.1529119,182.400251,177.8682022,170.8346978,159.7105779,156.8118324,150.602337,142.7889671,135.6377471,63.52225585,56.29746372,39.41999616,27.36886631,70.76176242,57.13618704,46.71836051,44.04033166,40.39114948,27.26586521,14.61144315
