"","OverallMAE","WinterMAE","SpringMAE","SummerMAE","FallMAE","OverallR2","WinterR2","SpringR2","SummerR2","FallR2","OverallRMSE","WinterRMSE","SpringRMSE","SummerRMSE","FallRMSE","OverallPBIAS","WinterPBIAS","SpringPBIAS","SummerPBIAS","FallPBIAS"
"8020924",10.44,13.27,9.17,26.72,19.95,0.8,0.8,0.83,0.07,0.92,13.35,16.85,11.73,31.33,25.54,49.3,79.4,38.2,-84.3,55.9
"17609017",15.18,14.45,6.98,14.14,25.09,0.59,0.3,0.68,0.46,0.49,19.74,19.04,9.45,17.73,31.24,15.2,-2.6,49.4,49.8,82.7
"17611425",13.97,9.93,13.66,19.57,33.22,0.62,0.62,0.74,0.48,0.89,18.84,14.86,17.63,24.91,39.83,204.8,222.2,121.2,167.7,414.8
