"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",9.181813215,133.467974325548,1426.315225,25.3647590085,76.3164651325,40.672391875748,111.219740631957
"2","February",19.74678419,118.229594805383,1763.408428,48.35166382,69.1542093925,53.9937939814491,100.400953609688
"3","March",22.23352527,109.59304237172,674.5248391,44.695124426,67.715872465,50.9735550143107,94.6984249224295
"4","April",14.14058093,92.962276805,1051.876762,27.1400567055,48.9475988175,32.6561792898412,72.9028674418284
"5","May",4.237759946,64.8368091318064,861.1334212,13.2032708335,29.6422479525,17.1037269328169,45.8122023770367
"6","June",1.059439986,36.5921103522306,490.8885748,3.94052817115,11.0726193,5.55933506855517,19.9362418341629
"7","July",0.706293324,25.3921360729772,1743.77936,1.854019976,5.322950209,2.77813781244658,11.4869897768073
"8","August",0.353146662,14.5735980407177,751.9228159,0.706293324,3.884613283,1.62671891299884,7.5339312719653
"9","September",0.353146662,22.2004029068264,900.1855562,0.353146662,2.825173297,0.960600018912585,6.4918365428457
"10","October",0.353146662,33.0893420505269,484.6790793,0.706293324,1.765733311,0.97451555409449,12.7755573676474
"11","November",0.353146662,50.1605129754304,711.5316664,1.18083415145,10.6164715275,2.82156139393707,27.2010601882954
"12","December",1.574445535,110.854949566244,1816.086139,5.1971417112,46.40935718,14.0620235623468,70.8970034149531
